,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
vila sonia são paulo,0.03308641975308642,0.1308641975308642,0.08888888888888889,0.09530864197530864,0.09827160493827161,0.11012345679012346,0.10567901234567902,0.03851851851851852,0.04246913580246914,0.12,0.07802469135802469,0.05876543209876543
jabaquara são paulo,0.11645379413974455,0.07863761582769847,0.08539944903581267,0.07613323315802654,0.10092662158777861,0.0843976959679439,0.09917355371900827,0.06786877034810919,0.07162534435261708,0.0879038317054846,0.058852992737290256,0.07262709742048586
vila mariana são paulo,0.10196525206493877,0.0848761036741669,0.0860153802335517,0.07917972087724295,0.09940187980632298,0.07747080603816577,0.10823127314155512,0.08174309313585873,0.0729136998006266,0.09370549700939904,0.046995158074622616,0.06750213614354884
campo limpo são paulo,0.11807479224376731,0.07617728531855955,0.08067867036011081,0.08033240997229917,0.0997229916897507,0.08795013850415513,0.09002770083102493,0.07929362880886427,0.078601108033241,0.08691135734072022,0.05851800554016621,0.06371191135734072
vila gustavo são paulo,0.0,0.08819345661450925,0.10810810810810811,0.07965860597439545,0.07396870554765292,0.03556187766714083,0.06543385490753911,0.14082503556187767,0.0,0.18492176386913228,0.1337126600284495,0.08961593172119488
vila santa maria são paulo,0.050761421319796954,0.032148900169204735,0.0,0.07614213197969544,0.16412859560067683,0.0338409475465313,0.12351945854483926,0.2131979695431472,0.0,0.09306260575296109,0.043993231810490696,0.1692047377326565
vila rica são paulo,0.11256005490734386,0.10501029512697323,0.12010981468771448,0.05422100205902539,0.08442004118050789,0.08579272477693892,0.05490734385724091,0.13589567604667124,0.0851063829787234,0.06520247083047358,0.0720658888126287,0.024708304735758406
parque são lucas são paulo,0.09873949579831932,0.11064425770308123,0.06512605042016807,0.12675070028011204,0.08683473389355742,0.09663865546218488,0.08683473389355742,0.06512605042016807,0.04481792717086835,0.09453781512605042,0.0546218487394958,0.06932773109243698
cidade ademar são paulo,0.16613007083065034,0.044430135222150675,0.07018673535093367,0.09143593045717965,0.0978750804893754,0.10045074050225371,0.05988409529942048,0.0721184803605924,0.07147456535737283,0.12813908564069543,0.050869285254346426,0.04700579523502898
guaianazes são paulo,0.11023325808878856,0.07035364936042136,0.06772009029345373,0.08276899924755456,0.10158013544018059,0.08427389014296463,0.10120391271632806,0.08502633559066967,0.07900677200902935,0.11399548532731377,0.0526711813393529,0.051166290443942816
vila brasilândia são paulo,0.2638888888888889,0.032407407407407406,0.0,0.056712962962962965,0.1597222222222222,0.08101851851851852,0.034722222222222224,0.07175925925925926,0.11689814814814815,0.11805555555555555,0.032407407407407406,0.032407407407407406
perus são paulo,0.08289794496691048,0.06165099268547544,0.08359456635318704,0.06025774991292233,0.12887495646116337,0.08568443051201671,0.10101010101010101,0.08254963427377221,0.09369557645419714,0.09961685823754789,0.0724486241727621,0.04771856495994427
capão redondo são paulo,0.10448697834954503,0.06808911201757138,0.08252274866645748,0.08440539692500784,0.10417320363978663,0.08189519924694069,0.09475996234703483,0.08252274866645748,0.08722936931283339,0.10825227486664575,0.03420144336366489,0.0674615625980546
cidade dutra são paulo,0.08786407766990291,0.06941747572815533,0.05970873786407767,0.05631067961165048,0.10582524271844661,0.12718446601941746,0.09368932038834951,0.0762135922330097,0.07378640776699029,0.13300970873786408,0.04514563106796116,0.07184466019417475
são mateus são paulo,0.09484649122807018,0.0644188596491228,0.07648026315789473,0.07785087719298246,0.10581140350877193,0.09292763157894737,0.09950657894736842,0.08607456140350878,0.08552631578947369,0.09375,0.051535087719298246,0.0712719298245614
itaim paulista são paulo,0.1384225530566994,0.06873614190687362,0.07633829585049097,0.07317073170731707,0.10706366803927779,0.0722204624643649,0.08869179600886919,0.0788723471650301,0.0750712701932214,0.08425720620842572,0.07063668039277796,0.06651884700665188
butantã são paulo,0.10734929810074319,0.08340214698596202,0.07817230938618222,0.07982383704927057,0.09881640517478668,0.07349298100743187,0.10322047894302229,0.09468758601706578,0.06716212496559318,0.09633911368015415,0.05890448665015139,0.058629232039636665
parque são jorge são paulo,0.04541895066562255,0.09553641346906813,0.12685982772122162,0.04385277995301488,0.052466718872357085,0.07752545027407988,0.052466718872357085,0.09318715740015662,0.11746280344557557,0.07674236491777604,0.08457321848081441,0.13390759592795615
parque do carmo são paulo,0.07012987012987013,0.06753246753246753,0.0329004329004329,0.05627705627705628,0.10822510822510822,0.10216450216450217,0.21385281385281385,0.08225108225108226,0.05367965367965368,0.04155844155844156,0.1012987012987013,0.07012987012987013
vila alpina são paulo,0.07922136713444998,0.06880941602535083,0.08284291534631055,0.07469443186962427,0.11543684925305568,0.08601177003168854,0.11543684925305568,0.05975554549569941,0.07741059302851969,0.07695789950203712,0.05341783612494341,0.11000452693526483
vila formosa são paulo,0.12092658029053789,0.06595995288574794,0.06870828425598743,0.07616804083235179,0.10679230467216333,0.06831566548881036,0.0961915979583824,0.0895170789163722,0.1005104043973302,0.08519827247742442,0.0651747153513938,0.05653710247349823
ermelino matarazzo são paulo,0.14029438822447102,0.12005519779208831,0.10165593376264949,0.07405703771849126,0.09291628334866606,0.021159153633854646,0.11637534498620056,0.04829806807727691,0.078196872125115,0.06945722171113156,0.05749770009199632,0.08003679852805888
vila jacuí são paulo,0.0,0.07097591888466413,0.044359949302915085,0.0,0.044359949302915085,0.036755386565272496,0.036755386565272496,0.07604562737642585,0.28390367553865653,0.21546261089987326,0.1444866920152091,0.046894803548795945
artur alvim são paulo,0.06268545994065282,0.06045994065281899,0.081973293768546,0.09161721068249258,0.11387240356083086,0.04970326409495549,0.09458456973293769,0.07455489614243324,0.09458456973293769,0.11572700296735905,0.06713649851632048,0.09310089020771513
teotônio vilela são paulo,0.31669691470054445,0.12704174228675136,0.036297640653357534,0.0,0.015426497277676952,0.05716878402903811,0.07168784029038112,0.16878402903811252,0.0998185117967332,0.07078039927404718,0.0,0.036297640653357534
vila ema são paulo,0.11036960985626283,0.09188911704312115,0.07443531827515401,0.0728952772073922,0.12114989733059549,0.10420944558521561,0.1391170431211499,0.05646817248459959,0.03234086242299795,0.07597535934291581,0.08008213552361396,0.04106776180698152
jaçanã são paulo,0.09111210361768647,0.11299687360428763,0.07860652076820009,0.04108977221974096,0.07949977668602054,0.08619919606967397,0.09468512728896829,0.09200535953550693,0.10317105850826262,0.0964716391246092,0.060741402411790976,0.06342117016525234
santa cecília são paulo,0.13628966639544346,0.07689178193653377,0.09235150528885272,0.07485760781122865,0.0821806346623271,0.0870626525630594,0.09926769731489016,0.036208299430431246,0.07729861676159479,0.10943856794141578,0.0419039869812856,0.08624898291293735
jardins são paulo,0.07948717948717948,0.08404558404558404,0.07920227920227921,0.09173789173789174,0.09772079772079773,0.0698005698005698,0.12022792022792023,0.0811965811965812,0.07207977207977208,0.10170940170940171,0.06638176638176638,0.05641025641025641
belém são paulo,0.10806045340050378,0.0743073047858942,0.08236775818639798,0.07707808564231738,0.10050377833753149,0.08060453400503778,0.11209068010075567,0.0853904282115869,0.07607052896725441,0.09345088161209068,0.06221662468513854,0.04785894206549118
portal do morumbi são paulo,0.08998875140607424,0.15860517435320584,0.05961754780652419,0.04161979752530934,0.06299212598425197,0.0,0.13835770528683913,0.04499437570303712,0.05399325084364454,0.09561304836895389,0.1856017997750281,0.0686164229471316
parque novo mundo são paulo,0.10896017699115045,0.09679203539823009,0.06969026548672566,0.084070796460177,0.09126106194690266,0.05143805309734513,0.12002212389380532,0.12997787610619468,0.07300884955752213,0.09070796460176991,0.032079646017699116,0.051991150442477874
ceagesp são paulo,0.06735751295336788,0.0770293609671848,0.09671848013816926,0.1001727115716753,0.10500863557858377,0.08393782383419689,0.10639032815198618,0.07944732297063903,0.06493955094991365,0.1077720207253886,0.0535405872193437,0.05768566493955095
parque santo antônio são paulo,0.04815864022662889,0.029745042492917848,0.17138810198300283,0.09206798866855524,0.0764872521246459,0.0,0.18271954674220964,0.06515580736543909,0.0821529745042493,0.046742209631728045,0.17422096317280453,0.031161473087818695
monções são paulo,0.08482400461627236,0.12175418349682632,0.05020196191575303,0.052510098095787654,0.08770917484131564,0.12175418349682632,0.1840738603577611,0.09059434506635891,0.03231390652048471,0.08020773225620312,0.0415464512406232,0.052510098095787654
americanópolis são paulo,0.09977324263038549,0.15532879818594103,0.048752834467120185,0.034013605442176874,0.23015873015873015,0.0,0.14285714285714285,0.12585034013605442,0.06349206349206349,0.023809523809523808,0.048752834467120185,0.027210884353741496
campo grande são paulo,0.10416666666666667,0.08002645502645503,0.08068783068783068,0.08333333333333333,0.103505291005291,0.08498677248677249,0.09755291005291006,0.08167989417989419,0.07605820105820106,0.09060846560846561,0.060515873015873016,0.056878306878306875
socorro são paulo,0.09639162250820085,0.08024224072672217,0.07418622255866768,0.08478425435276306,0.10623265203128943,0.08705526116578349,0.10749432248296745,0.0757002271006813,0.0817562452687358,0.08957860206913953,0.05677517032551098,0.05980317940953823
