,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
sé são paulo,0.07179115300942712,0.06598984771573604,0.07179115300942712,0.08556925308194344,0.11312545322697606,0.06671501087744743,0.10224800580130529,0.07324147933284988,0.06889050036258158,0.09572153734590283,0.12762871646120377,0.05728788977519942
bom retiro são paulo,0.09005019191024506,0.07705934455270151,0.07646885149099499,0.09802184824328314,0.1006790670209625,0.07351638618246235,0.09920283436669619,0.06465899025686449,0.07705934455270151,0.08798346619427222,0.07440212577502214,0.08089754945379392
consolação são paulo,0.10345921929546176,0.0685496667724532,0.07331006029831799,0.07997461123452872,0.10536337670580768,0.0904474769914313,0.10282450015867979,0.07680101555061886,0.05553792446842272,0.10155506188511583,0.07108854331958109,0.07108854331958109
aclimação são paulo,0.06836108676599474,0.06704645048203331,0.07274320771253287,0.11218229623137599,0.09991235758106924,0.10035056967572305,0.09640666082383874,0.056091148115687994,0.0915863277826468,0.1091148115687993,0.05433829973707274,0.07186678352322524
cambuci são paulo,0.1326452599388379,0.0676605504587156,0.07339449541284404,0.07186544342507645,0.09174311926605505,0.08027522935779817,0.07454128440366972,0.08333333333333333,0.077217125382263,0.09250764525993883,0.07224770642201835,0.08256880733944955
lapa são paulo,0.09812108559498957,0.07750521920668059,0.07698329853862212,0.06471816283924843,0.09525052192066806,0.08455114822546973,0.10647181628392484,0.08037578288100208,0.08402922755741127,0.09316283924843424,0.0634133611691023,0.07541753653444676
brás são paulo,0.09711141678129298,0.06932599724896836,0.07152682255845942,0.07785419532324622,0.12214580467675379,0.08005502063273727,0.0907840440165062,0.07647867950481431,0.08335625859697386,0.09133425034387896,0.06987620357634113,0.07015130674002751
carandiru são paulo,0.1133257403189066,0.09225512528473805,0.0785876993166287,0.08428246013667426,0.11047835990888383,0.043849658314350795,0.12186788154897495,0.05353075170842825,0.08314350797266515,0.0979498861047836,0.07915717539863326,0.041571753986332574
penha de frança são paulo,0.07088009450679268,0.12226816302421736,0.10395747194329592,0.05138806851742469,0.09214412285883047,0.08564678086237448,0.11104548139397519,0.03484937979917307,0.07324276432368576,0.08269344359125812,0.07324276432368576,0.09864146485528648
santo amaro são paulo,0.11716477122454377,0.07537688442211055,0.0841047341973023,0.07537688442211055,0.09785770960063475,0.07352552234858503,0.10023803226659614,0.0848981750859561,0.07590584501454642,0.0957418672308913,0.05633430309441947,0.06347527109230362
pari são paulo,0.05813953488372093,0.1273532668881506,0.08250276854928018,0.0636766334440753,0.09302325581395349,0.11018826135105204,0.10741971207087486,0.06478405315614617,0.1168327796234773,0.06866002214839424,0.0592469545957918,0.04817275747508306
casa verde são paulo,0.10351288056206089,0.07494145199063232,0.10398126463700234,0.11522248243559718,0.08384074941451991,0.06697892271662763,0.09648711943793911,0.07353629976580796,0.08571428571428572,0.08524590163934426,0.05807962529274005,0.05245901639344262
pinheiros são paulo,0.08318494021877385,0.07148308318494022,0.08242177562961078,0.08471126939709997,0.0903078097176291,0.07784278809463241,0.10251844314423811,0.08496565759348766,0.0798778936657339,0.09768506741287204,0.06868481302467566,0.07631645891630628
itaim bibi são paulo,0.08887447291599092,0.07622445669802141,0.08887447291599092,0.07362958157638663,0.10963347388906909,0.07946805060006487,0.08206292572169964,0.08563087901394745,0.0810898475510866,0.10217320791436912,0.06746675316250406,0.06487187804086929
vila clementino são paulo,0.11251392499071668,0.08466394355737096,0.08057927961381359,0.09394727070181953,0.12439658373561084,0.07166728555514296,0.04790196806535462,0.07835128109914594,0.10731526178982548,0.11919792053471964,0.043817304121797254,0.03564797623468251
ipiranga são paulo,0.07963709677419355,0.06703629032258064,0.06955645161290322,0.0690524193548387,0.07459677419354839,0.07762096774193548,0.09324596774193548,0.08820564516129033,0.11643145161290322,0.1123991935483871,0.07056451612903226,0.08165322580645161
vila maria são paulo,0.10047468354430379,0.08333333333333333,0.08386075949367089,0.07885021097046413,0.10363924050632911,0.07937763713080169,0.08227848101265822,0.0804324894514768,0.08359704641350212,0.09546413502109705,0.06566455696202532,0.06302742616033755
água fria são paulo,0.0629575402635432,0.0629575402635432,0.12445095168374817,0.10175695461200586,0.07906295754026355,0.05417276720351391,0.0,0.11786237188872621,0.027086383601756955,0.1617862371888726,0.16691068814055637,0.040995607613469986
vila matilde são paulo,0.1047235444891981,0.04540461369461735,0.09666788722079825,0.10875137312339803,0.09337239106554375,0.07030391797876236,0.10508971072867082,0.08165507140241669,0.07030391797876236,0.09337239106554375,0.05162943976565361,0.07872574148663493
são miguel paulista são paulo,0.08169838945827233,0.07554904831625182,0.09048316251830162,0.08316251830161055,0.08609077598828697,0.0787701317715959,0.07935578330893119,0.07525622254758418,0.0843338213762811,0.11215226939970717,0.06354319180087847,0.08960468521229868
perdizes são paulo,0.09937199852234946,0.08016254155892132,0.078684891023273,0.07240487624676764,0.08311784263021796,0.06649427410417437,0.12892500923531586,0.07831547838936091,0.08533431843369044,0.0967861100849649,0.08200960472848172,0.04839305504248245
ponte rasa são paulo,0.09359903381642512,0.11896135265700483,0.07427536231884058,0.11352657004830918,0.11352657004830918,0.06763285024154589,0.08756038647342995,0.0966183574879227,0.04589371980676329,0.06642512077294686,0.058574879227053143,0.06340579710144928
parelheiros são paulo,0.09144542772861357,0.06135693215339233,0.07374631268436578,0.06607669616519174,0.14218289085545724,0.07964601769911504,0.10206489675516224,0.09262536873156342,0.09262536873156342,0.07138643067846608,0.06843657817109144,0.0584070796460177
sacomã são paulo,0.1072417886822319,0.055401662049861494,0.06252473288484368,0.08824693312227938,0.07162643450732094,0.0854768500197863,0.0925999208547685,0.10922041946972695,0.06252473288484368,0.10961614562722596,0.06569054214483577,0.08982983775227543
campo belo são paulo,0.0685512367491166,0.07279151943462897,0.08021201413427562,0.0812720848056537,0.11943462897526502,0.09646643109540635,0.08515901060070671,0.08515901060070671,0.0833922261484099,0.10141342756183745,0.0568904593639576,0.06925795053003533
freguesia do ó são paulo,0.14443567482241515,0.07261247040252565,0.06748224151539069,0.07734806629834254,0.1085240726124704,0.07458563535911603,0.08287292817679558,0.07734806629834254,0.06629834254143646,0.1026045777426993,0.07142857142857142,0.05445935280189424
vila diva são paulo,0.10930009587727708,0.12464046021093,0.02588686481303931,0.10738255033557047,0.13231064237775647,0.0,0.03547459252157239,0.12176414189837009,0.14285714285714285,0.06040268456375839,0.04122722914669223,0.0987535953978907
tatuapé são paulo,0.10544488711819389,0.08207171314741035,0.07941567065073041,0.07649402390438247,0.1102257636122178,0.07861885790172643,0.09322709163346614,0.07835325365205843,0.07277556440903055,0.0895086321381142,0.06347941567065073,0.0703851261620186
vila carrão são paulo,0.1433675748101831,0.054041983028137563,0.05582849486377847,0.05895489057615007,0.09245198749441715,0.09513175524787852,0.13443501563197857,0.07414024117909782,0.06699419383653417,0.125502456453774,0.060741402411790976,0.03841000446627959
itaquera são paulo,0.10163582729954411,0.08205953338696702,0.08313220702601233,0.07240547063555913,0.10083132207026012,0.08527755430410297,0.09680879592384017,0.08474121748458031,0.08393671225529632,0.08474121748458031,0.058997050147492625,0.06543309198176454
pirituba são paulo,0.10980926430517711,0.07983651226158038,0.07138964577656676,0.06757493188010899,0.10899182561307902,0.07493188010899182,0.09073569482288828,0.08337874659400545,0.07220708446866485,0.0991825613079019,0.07029972752043596,0.07166212534059946
