,author_id,tweet_id,created_at,text
0,727083578278993920,1534676856028405760,2022-06-08,Boa noite em Jaçanã https://t.co/QB26yphZoB
1,1500975990604017664,1534661208669814784,2022-06-08,!! https://t.co/o9rjb0dTij
2,45604985,1534652489961701380,2022-06-08,Você se lembra quando começou a fazer parte do Twitter? Eu me lembro! #MeuAniversárioDoTwitter https://t.co/byP7he7VF7
3,1461907070245126147,1534644112124690433,2022-06-08,https://t.co/5msSlVGtgM
4,727083578278993920,1534312647096680449,2022-06-07,Boa noite em Jaçanã https://t.co/7X9McW5FAE
5,1509471829743874049,1534212573767270401,2022-06-07,dia de buscar cesta básica 🌈✨ https://t.co/1TuPe2aBa6
6,55886961,1534209941568995329,2022-06-07,"COVID-19 agindo! (@ A+ in São Paulo, SP) https://t.co/clEspUOoOt"
7,79579194,1534185779185983493,2022-06-07,"Se tiver lugar melhor não conheço (@ O Costellone Villares in São Paulo, SP) https://t.co/4XPLih604v https://t.co/tjK5Ct4IZ8"
8,4836156178,1534130043655438338,2022-06-07,Bom dia ? https://t.co/Yx6KF96qi2
9,242814791,1533969245511426049,2022-06-07,Acabou de publicar uma foto em Bradesco https://t.co/WDvvqhHkrE
10,727083578278993920,1533952644405792768,2022-06-06,Boa noite em Jaçanã https://t.co/z1esnypDE7
11,1526952397607673857,1533875409833582599,2022-06-06,"Começando segunda feira bem!
Vem que temos atacado e varejo. https://t.co/ENIab8r9SE"
12,120588995,1533830944221712384,2022-06-06,Eita que notícia boa...🌏🤡 em Marte https://t.co/TRoJLFZCsn
13,727083578278993920,1533598422284001280,2022-06-05,Boa noite em Jaçanã https://t.co/z3LpzxdkuE
14,56807544,1533591137197359107,2022-06-05,"Meu irmão do meio! @willcamposdj ,você não tem noção do set que ele fez ontem no Santa e eu to passando mal aqui no @imperio88bar . Set de gente grande p...q p ( Desculpem ) em Imperio 88 bar https://t.co/KTSsHMX5H8"
15,1483312339894030336,1533568088305811460,2022-06-05,gostei dessa foto mas ficou estranha kkkkkkkkkkkkk *segura minha pochete ai* https://t.co/rD8Ia17C11
16,14957446,1533549950755143682,2022-06-05,"Fds de muita jogatina, já foi Istambul agora é Nemesis em Tucuruvi | Zona Norte https://t.co/3eoTia3ygV"
17,38747650,1533487287513784326,2022-06-05,"R
O
L
Ê
.
D
E
.
P
L
A
Y
B
O
Y

(A comida é criminosa) https://t.co/MbxXFAoZAj"
18,727083578278993920,1533412328154202115,2022-06-05,Bom dia em Jaçanã https://t.co/Jv4zqcXxrz
19,49668165,1533213767340683264,2022-06-04,Vlw meu brother @daiaemau pela companhia dessa tarde sensacional Eu @rosecunha66 agradecemos 🤜🏾🤛🏽... em Bar de Vidro https://t.co/WiWOUIG4vq
20,319057922,1533203496857743360,2022-06-04,❤️ em IASD Vila Medeiros https://t.co/jQdiCMW8Yb
21,222295580,1533136506914676741,2022-06-04,Acabou de publicar uma foto em Jardim Brasil Sp https://t.co/3Ye4egDWX9
22,727083578278993920,1533030832700641280,2022-06-04,Bom dia em Jaçanã https://t.co/UByBkMAtbt
23,454419733,1532911355958902785,2022-06-04,Acabou de publicar uma foto em Jardim São Paulo (Santana) https://t.co/b0yBQ64rHu
24,727083578278993920,1532861723589455872,2022-06-03,Boa noite em Study Company https://t.co/GjcMVILvTr
25,14220748,1532853789371375618,2022-06-03,"I'm at Sergin Carne, Breja E Rock'n Roll in São Paulo w/ @alesqui https://t.co/J6mLV4M1u7"
26,71059141,1532844902186467328,2022-06-03,"Just posted a photo @ Cantareira, Sao Paulo, Brazil https://t.co/VX5sfe9mtP"
27,168304770,1532753604209168387,2022-06-03,Just posted a photo @ Vila Medeiros https://t.co/NKgsQZZW0C
28,159466884,1532714177302781954,2022-06-03,"Sua nova CONTABILIDADE
Seja para um novo CNPJ ou para troca de contador.
Aguardamos seu contato! em DML Brasil https://t.co/1SmYPSbnb2"
29,727083578278993920,1532644883269230592,2022-06-03,Bom dia em Parada Inglesa https://t.co/c3EOnGTzyu
