,author_id,tweet_id,created_at,text
0,3043211619,1526497171230449664,2022-05-17,Acabou de publicar uma foto em Online Quadros https://t.co/tD5Y1Cq6h9
1,64727308,1526491537634377729,2022-05-17,Bom dia ☕️ em Vila Carrão _ sp - z/l https://t.co/iuApc93TpC
2,52309670,1526381932325457920,2022-05-17,Acabou de publicar uma foto em Vila Formosa https://t.co/WCKiRD879h
3,1085470427886088193,1526360237657075712,2022-05-17,Acabou de publicar uma foto em Vila Formosa Sp - ZL https://t.co/wMThOz3En7
4,177423719,1526326055648124929,2022-05-16,Acabou de publicar uma foto em Dana Farida https://t.co/qCQ28ViDvW
5,190316221,1526322104441966592,2022-05-16,Acabou de publicar uma foto em Comunidade Cristã na Zona Leste https://t.co/xtCQtYJVWZ
6,3854474182,1526302103618002944,2022-05-16,Acabou de publicar uma foto em Projetos Eletronicos https://t.co/lJY5FeaJ6J
7,51405210,1526228310828601344,2022-05-16,Essa é a minha… e eu amo essa foto em Mundão https://t.co/EFK5TCOGou
8,3043211619,1526199521126006790,2022-05-16,Acabou de publicar uma foto em Online Quadros https://t.co/8nv1nk1YPK
9,3371399722,1526131971428073473,2022-05-16,Acabou de publicar uma foto em Vila Formosa https://t.co/0N6XqGJVRt
10,1085470427886088193,1526014652701892609,2022-05-16,#RecadoDado em Vila Formosa https://t.co/skEqR9Db2A
11,75327006,1525945340419092480,2022-05-15,"Hoje teve #🏃‍♀️ 
#5kmrun 
#adidas #lifestyle  #runfriends em Ceret https://t.co/7iDd7Y5RyW"
12,3043211619,1525942828697800710,2022-05-15,Acabou de publicar uma foto em Online Quadros https://t.co/3ynB0FSJqA
13,33387790,1525934325836947458,2022-05-15,Dia da família  é  assim ...🥰😘 em Jardim Vila Formosa https://t.co/U8Rr76DnyI
14,999056285235666945,1525908023729721344,2022-05-15,"E não teve chuva no domingo!
#bike #SUNday em ciclovia Anhaia Melo https://t.co/LcGho95WIq"
15,34660926,1525907299159617538,2022-05-15,Cara de concha! Bota ver Doutor Estranho no Multiverso da Loucura. em UCI Cinemas https://t.co/LOOF8AhaML
16,1212884945217024001,1525885263435677699,2022-05-15,"Hum... 😍😝 
Quero guerra com ninguém. https://t.co/uBPChUKlHn"
17,215596444,1525884293372727297,2022-05-15,https://t.co/6OHHHLqKQz #porraí
18,1212884945217024001,1525883977160073219,2022-05-15,"Restaurante Japonês tudo o que eu precisava pra esse mês.  🍣🍣
@yesminkkj"
19,34660926,1525880427831083008,2022-05-15,Bora começar os trabalhos de domingo! em Shopping Anália Franco https://t.co/68dGvqQD1O
20,1085470427886088193,1525852801443811333,2022-05-15,Acabou de publicar uma foto em Vila Formosa https://t.co/qFspfDBDJ3
21,3371399722,1525765804582633472,2022-05-15,Acabou de publicar uma foto em Vila Formosa https://t.co/LWfKswVADx
22,1290292825637224448,1525729227634532353,2022-05-15,diretamente de cotia 😤 https://t.co/Jnp0LbXDRK
23,177423719,1525632262695444480,2022-05-15,"Esse frio 🥶 que está chegando. Você já está preparada? 

Pashminas Para esquentar esse inverno ❄️ 

❄️
❄️
❄️
#pashiminas #lenços #lençoslindos em Dana Farida https://t.co/3VYEmoYFvl"
24,137547006,1525528859181043720,2022-05-14,"I'm at Centro Esportivo, Recreativo e Educativo do Trabalhador (CERET) in São Paulo, SP https://t.co/ANNjOxvkjs"
25,177423719,1525525280428802049,2022-05-14,"Amanhã - Domingo ✨

Teremos um curso especial para estudo de Braços ✨

Aula ministrada pela nossa Diretora Artística ✨

✨
✨
✨
#formação #formacaocontinuada #auladebraços #braços #escoladedanca em Dana Farida https://t.co/aSN2nYzi7o"
