Categoria: Imóveis

Semana,vila mariana são paulo: (Mundo)
2022-01-02,72
2022-01-09,95
2022-01-16,58
2022-01-23,62
2022-01-30,20
2022-02-06,78
2022-02-13,30
2022-02-20,35
2022-02-27,23
2022-03-06,40
2022-03-13,40
2022-03-20,31
2022-03-27,69
2022-04-03,48
2022-04-10,14
2022-04-17,35
2022-04-24,50
2022-05-01,26
2022-05-08,87
2022-05-15,100
2022-05-22,88
2022-05-29,71
2022-06-05,47
2022-06-12,39
2022-06-19,40
2022-06-26,33
2022-07-03,52
2022-07-10,69
2022-07-17,42
2022-07-24,44
2022-07-31,76
2022-08-07,0
2022-08-14,36
2022-08-21,31
2022-08-28,31
2022-09-04,49
2022-09-11,38
2022-09-18,52
2022-09-25,31
2022-10-02,18
2022-10-09,24
2022-10-16,27
2022-10-23,18
2022-10-30,19
2022-11-06,17
2022-11-13,0
2022-11-20,61
2022-11-27,0
2022-12-04,40
2022-12-11,20
2022-12-18,0
2022-12-25,17
