Categoria: Imóveis

Semana,ipiranga são paulo: (Mundo)
2022-01-02,0
2022-01-09,66
2022-01-16,31
2022-01-23,0
2022-01-30,0
2022-02-06,61
2022-02-13,51
2022-02-20,39
2022-02-27,35
2022-03-06,68
2022-03-13,45
2022-03-20,0
2022-03-27,65
2022-04-03,31
2022-04-10,0
2022-04-17,38
2022-04-24,65
2022-05-01,0
2022-05-08,40
2022-05-15,0
2022-05-22,73
2022-05-29,0
2022-06-05,68
2022-06-12,40
2022-06-19,0
2022-06-26,0
2022-07-03,67
2022-07-10,43
2022-07-17,53
2022-07-24,25
2022-07-31,47
2022-08-07,0
2022-08-14,35
2022-08-21,50
2022-08-28,100
2022-09-04,0
2022-09-11,0
2022-09-18,71
2022-09-25,54
2022-10-02,38
2022-10-09,50
2022-10-16,33
2022-10-23,36
2022-10-30,65
2022-11-06,0
2022-11-13,0
2022-11-20,85
2022-11-27,54
2022-12-04,0
2022-12-11,35
2022-12-18,25
2022-12-25,50
