Categoria: Notícias

Semana,são mateus são paulo: (Mundo)
2022-01-02,76
2022-01-09,45
2022-01-16,58
2022-01-23,61
2022-01-30,34
2022-02-06,51
2022-02-13,24
2022-02-20,0
2022-02-27,38
2022-03-06,49
2022-03-13,56
2022-03-20,15
2022-03-27,32
2022-04-03,31
2022-04-10,38
2022-04-17,14
2022-04-24,29
2022-05-01,34
2022-05-08,41
2022-05-15,68
2022-05-22,28
2022-05-29,68
2022-06-05,69
2022-06-12,0
2022-06-19,74
2022-06-26,0
2022-07-03,43
2022-07-10,0
2022-07-17,23
2022-07-24,0
2022-07-31,0
2022-08-07,47
2022-08-14,0
2022-08-21,0
2022-08-28,35
2022-09-04,46
2022-09-11,26
2022-09-18,23
2022-09-25,27
2022-10-02,100
2022-10-09,35
2022-10-16,20
2022-10-23,23
2022-10-30,28
2022-11-06,0
2022-11-13,26
2022-11-20,0
2022-11-27,35
2022-12-04,37
2022-12-11,21
2022-12-18,23
2022-12-25,0
