Categoria: Notícias

Semana,itaquera são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,39
2022-01-23,0
2022-01-30,75
2022-02-06,44
2022-02-13,54
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,40
2022-03-27,0
2022-04-03,0
2022-04-10,61
2022-04-17,0
2022-04-24,53
2022-05-01,61
2022-05-08,60
2022-05-15,48
2022-05-22,0
2022-05-29,95
2022-06-05,71
2022-06-12,0
2022-06-19,33
2022-06-26,30
2022-07-03,0
2022-07-10,0
2022-07-17,46
2022-07-24,0
2022-07-31,57
2022-08-07,69
2022-08-14,57
2022-08-21,58
2022-08-28,71
2022-09-04,0
2022-09-11,94
2022-09-18,64
2022-09-25,33
2022-10-02,62
2022-10-09,100
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,42
2022-11-13,0
2022-11-20,75
2022-11-27,31
2022-12-04,39
2022-12-11,45
2022-12-18,0
2022-12-25,43
