Categoria: Esportes

Semana,campo grande são paulo: (Mundo)
2022-01-02,74
2022-01-09,0
2022-01-16,62
2022-01-23,0
2022-01-30,0
2022-02-06,69
2022-02-13,0
2022-02-20,67
2022-02-27,25
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,83
2022-04-03,26
2022-04-10,37
2022-04-17,45
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,39
2022-05-29,0
2022-06-05,100
2022-06-12,0
2022-06-19,33
2022-06-26,0
2022-07-03,0
2022-07-10,74
2022-07-17,0
2022-07-24,32
2022-07-31,0
2022-08-07,51
2022-08-14,45
2022-08-21,30
2022-08-28,67
2022-09-04,66
2022-09-11,62
2022-09-18,92
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,69
2022-10-23,0
2022-10-30,86
2022-11-06,33
2022-11-13,27
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,44
