Categoria: Pessoas e sociedade

Semana,santo amaro são paulo: (Mundo)
2022-01-02,43
2022-01-09,82
2022-01-16,25
2022-01-23,0
2022-01-30,100
2022-02-06,0
2022-02-13,56
2022-02-20,18
2022-02-27,0
2022-03-06,21
2022-03-13,0
2022-03-20,26
2022-03-27,0
2022-04-03,42
2022-04-10,24
2022-04-17,37
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,18
2022-06-19,0
2022-06-26,42
2022-07-03,0
2022-07-10,0
2022-07-17,61
2022-07-24,0
2022-07-31,20
2022-08-07,19
2022-08-14,0
2022-08-21,19
2022-08-28,18
2022-09-04,0
2022-09-11,20
2022-09-18,17
2022-09-25,0
2022-10-02,21
2022-10-09,21
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,18
2022-11-13,0
2022-11-20,37
2022-11-27,25
2022-12-04,21
2022-12-11,0
2022-12-18,25
2022-12-25,39
