Categoria: Pessoas e sociedade

Semana,socorro são paulo: (Mundo)
2022-01-02,43
2022-01-09,0
2022-01-16,0
2022-01-23,65
2022-01-30,45
2022-02-06,31
2022-02-13,0
2022-02-20,0
2022-02-27,27
2022-03-06,0
2022-03-13,20
2022-03-20,0
2022-03-27,28
2022-04-03,24
2022-04-10,0
2022-04-17,31
2022-04-24,27
2022-05-01,91
2022-05-08,65
2022-05-15,33
2022-05-22,0
2022-05-29,0
2022-06-05,30
2022-06-12,0
2022-06-19,27
2022-06-26,100
2022-07-03,0
2022-07-10,21
2022-07-17,0
2022-07-24,0
2022-07-31,34
2022-08-07,34
2022-08-14,46
2022-08-21,67
2022-08-28,0
2022-09-04,23
2022-09-11,0
2022-09-18,45
2022-09-25,0
2022-10-02,25
2022-10-09,0
2022-10-16,40
2022-10-23,34
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,32
2022-11-27,20
2022-12-04,23
2022-12-11,0
2022-12-18,67
2022-12-25,0
