Categoria: Pessoas e sociedade

Semana,brás são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,21
2022-01-30,30
2022-02-06,60
2022-02-13,69
2022-02-20,23
2022-02-27,23
2022-03-06,14
2022-03-13,49
2022-03-20,35
2022-03-27,56
2022-04-03,36
2022-04-10,49
2022-04-17,29
2022-04-24,33
2022-05-01,0
2022-05-08,23
2022-05-15,31
2022-05-22,20
2022-05-29,36
2022-06-05,0
2022-06-12,91
2022-06-19,58
2022-06-26,40
2022-07-03,77
2022-07-10,40
2022-07-17,25
2022-07-24,19
2022-07-31,18
2022-08-07,0
2022-08-14,0
2022-08-21,100
2022-08-28,19
2022-09-04,29
2022-09-11,47
2022-09-18,44
2022-09-25,65
2022-10-02,18
2022-10-09,0
2022-10-16,33
2022-10-23,20
2022-10-30,31
2022-11-06,0
2022-11-13,0
2022-11-20,32
2022-11-27,45
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
