lapa_v
first_area
     -46.714273	 -23.535248
     -46.713250	 -23.535330
     -46.712027	 -23.535428
     -46.709941	 -23.535946
     -46.709407	 -23.536330
     -46.709353	 -23.537112
     -46.708098	 -23.538455
     -46.707656	 -23.538684
     -46.706477	 -23.538838
     -46.706208	 -23.538945
     -46.705626	 -23.539599
     -46.705001	 -23.539956
     -46.701958	 -23.540666
     -46.699890	 -23.540943
     -46.698800	 -23.541003
     -46.697269	 -23.540660
     -46.696479	 -23.542004
     -46.696291	 -23.542294
     -46.695036	 -23.543096
     -46.694457	 -23.543617
     -46.693521	 -23.544528
     -46.692944	 -23.545001
     -46.691809	 -23.545675
     -46.691112	 -23.544760
     -46.690973	 -23.544696
     -46.690247	 -23.543456
     -46.690167	 -23.543096
     -46.690258	 -23.541882
     -46.690841	 -23.538780
     -46.690535	 -23.538032
     -46.688384	 -23.535061
     -46.686624	 -23.532563
     -46.681705	 -23.525682
     -46.680450	 -23.524029
     -46.679463	 -23.522593
     -46.679334	 -23.521550
     -46.679194	 -23.520949
     -46.679108	 -23.519151
     -46.678847	 -23.518588
     -46.678785	 -23.517779
     -46.679121	 -23.516905
     -46.678971	 -23.513727
     -46.682136	 -23.511587
     -46.684290	 -23.510449
     -46.689758	 -23.509422
     -46.694891	 -23.508450
     -46.696543	 -23.508322
     -46.705705	 -23.509001
     -46.707226	 -23.509119 
     -46.714039	 -23.508637
     -46.715375	 -23.508497
     -46.712253	 -23.518180
     -46.711511	 -23.520387
     -46.712012	 -23.520571
     -46.712091	 -23.520622
     -46.712161	 -23.520956
     -46.712207	 -23.521280
     -46.712220	 -23.521609
     -46.712370	 -23.522017
     -46.712781	 -23.522567
     -46.713307	 -23.523005
     -46.713522	 -23.523300
     -46.713592	 -23.523942
     -46.713453	 -23.525755
     -46.713261	 -23.527825
     -46.712942	 -23.530653
     -46.712499	 -23.531636
     -46.712992	 -23.531738
     -46.713579	 -23.531513
     -46.713571	 -23.531606
     -46.713064	 -23.532319
     -46.713935	 -23.534271
     -46.714277	 -23.535259    
     
END
END
