Categoria: Notícias

Semana,brás são paulo: (Mundo)
2022-01-02,59
2022-01-09,16
2022-01-16,0
2022-01-23,26
2022-01-30,26
2022-02-06,0
2022-02-13,15
2022-02-20,10
2022-02-27,0
2022-03-06,34
2022-03-13,30
2022-03-20,22
2022-03-27,39
2022-04-03,50
2022-04-10,25
2022-04-17,12
2022-04-24,10
2022-05-01,54
2022-05-08,13
2022-05-15,55
2022-05-22,44
2022-05-29,40
2022-06-05,37
2022-06-12,47
2022-06-19,21
2022-06-26,37
2022-07-03,0
2022-07-10,27
2022-07-17,16
2022-07-24,0
2022-07-31,59
2022-08-07,25
2022-08-14,35
2022-08-21,18
2022-08-28,20
2022-09-04,29
2022-09-11,40
2022-09-18,57
2022-09-25,100
2022-10-02,33
2022-10-09,48
2022-10-16,45
2022-10-23,15
2022-10-30,39
2022-11-06,54
2022-11-13,13
2022-11-20,59
2022-11-27,76
2022-12-04,16
2022-12-11,0
2022-12-18,16
2022-12-25,0
