Categoria: Saúde

Semana,ponte rasa são paulo: (Mundo)
2022-01-02,0
2022-01-09,15
2022-01-16,49
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,14
2022-02-20,19
2022-02-27,0
2022-03-06,0
2022-03-13,18
2022-03-20,0
2022-03-27,7
2022-04-03,7
2022-04-10,0
2022-04-17,15
2022-04-24,0
2022-05-01,9
2022-05-08,0
2022-05-15,0
2022-05-22,13
2022-05-29,19
2022-06-05,0
2022-06-12,13
2022-06-19,0
2022-06-26,0
2022-07-03,100
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,8
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,12
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,11
2022-12-25,0
