date,sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
2022-01-02,14,64,54,66,53,89,85,0,0,100,35,46,59,54,27,38,89,0,39,42,70,0,43,100,62,59,0,85,97,89,74,0,97,84,100,0,0,35,0,100,74,0,43,79,37,84,87,76,0,0,32,57,53,0,50,99,44,100,82,60,78,0,58,62,0,68,42,75,86
2022-01-09,35,67,100,21,100,80,73,80,0,97,16,54,69,61,99,33,50,0,78,39,65,68,33,66,54,98,0,91,53,72,95,36,85,71,61,0,0,76,55,47,40,0,14,100,27,64,100,82,58,0,25,100,47,0,78,100,52,47,60,82,95,0,0,50,34,79,46,69,79
2022-01-16,12,71,79,0,50,54,54,50,49,78,0,34,57,45,54,26,79,45,60,80,46,41,38,0,28,78,50,71,37,84,78,0,100,65,61,0,0,53,53,29,41,66,33,50,23,57,68,78,0,29,47,57,54,0,41,54,74,33,30,36,84,0,42,37,0,0,0,53,77
2022-01-23,21,56,58,26,94,84,74,0,26,82,31,59,72,54,41,34,95,0,58,71,51,46,11,51,28,31,64,77,67,78,56,0,100,71,66,0,30,0,0,41,62,100,83,74,44,81,98,100,0,52,0,55,75,0,0,21,45,0,63,28,100,45,36,46,0,0,0,62,80
2022-01-30,17,47,35,43,50,69,67,69,45,86,23,28,70,60,82,27,68,41,51,47,37,0,30,54,22,100,0,73,67,56,100,31,83,67,53,0,0,0,33,41,76,62,65,30,50,60,84,54,0,0,71,39,76,0,0,75,0,24,100,73,72,35,61,0,0,0,0,56,60
2022-02-06,13,100,47,32,36,65,64,0,100,74,59,28,77,65,28,30,80,0,58,59,37,63,12,40,61,56,59,70,42,72,79,90,69,91,64,0,0,100,29,31,68,0,13,49,40,64,61,73,52,20,33,34,68,0,53,33,0,48,59,76,68,58,47,73,0,100,97,65,80
2022-02-13,31,49,78,43,64,84,65,42,52,75,35,44,65,53,65,39,93,42,15,87,63,100,35,0,37,47,0,94,30,77,45,87,73,78,65,37,0,0,55,0,50,0,45,64,38,55,56,65,28,17,50,30,73,30,56,32,95,69,47,64,97,0,37,34,0,55,19,56,77
2022-02-20,26,65,45,49,29,71,55,35,30,72,100,46,60,50,79,29,78,0,0,74,46,34,24,55,58,26,71,77,20,62,69,29,85,67,42,25,19,28,24,38,20,28,55,43,36,46,52,80,42,17,50,36,78,26,54,43,39,52,61,74,59,83,50,47,21,28,0,56,72
2022-02-27,21,47,46,29,48,77,68,85,25,64,36,42,79,67,56,35,65,44,51,38,71,0,33,45,50,55,0,68,29,95,100,59,87,62,49,0,0,25,50,0,49,0,64,61,29,70,48,85,0,24,19,68,42,0,0,32,45,84,22,81,71,0,41,69,0,28,21,65,89
2022-03-06,21,55,60,40,13,67,59,0,52,72,40,42,85,72,0,34,86,88,85,90,51,33,31,45,65,48,0,79,48,63,65,37,87,73,50,25,0,23,0,0,48,0,65,47,16,61,61,68,30,16,43,40,81,35,52,0,30,58,24,80,85,0,44,50,72,40,0,53,66
2022-03-13,27,52,62,48,42,82,64,59,61,78,35,62,76,55,76,33,68,0,58,66,51,0,14,37,57,38,0,74,25,66,75,0,80,66,54,22,0,71,20,0,42,0,44,41,38,77,80,74,0,0,17,47,65,0,71,0,36,0,76,70,68,26,39,56,26,47,0,67,72
2022-03-20,26,79,48,28,62,72,65,46,19,76,17,45,79,63,44,32,79,54,59,58,59,30,35,19,66,25,27,68,29,88,48,55,78,67,52,0,0,52,16,47,25,0,65,87,30,74,53,60,60,0,77,45,29,0,55,23,54,96,40,65,84,0,13,96,23,0,43,52,79
