Categoria: Pessoas e sociedade

Semana,são miguel paulista são paulo: (Mundo)
2022-01-02,81
2022-01-09,36
2022-01-16,30
2022-01-23,24
2022-01-30,72
2022-02-06,57
2022-02-13,22
2022-02-20,48
2022-02-27,66
2022-03-06,66
2022-03-13,50
2022-03-20,28
2022-03-27,66
2022-04-03,24
2022-04-10,95
2022-04-17,32
2022-04-24,79
2022-05-01,33
2022-05-08,44
2022-05-15,32
2022-05-22,38
2022-05-29,65
2022-06-05,0
2022-06-12,61
2022-06-19,0
2022-06-26,42
2022-07-03,63
2022-07-10,56
2022-07-17,0
2022-07-24,0
2022-07-31,61
2022-08-07,0
2022-08-14,57
2022-08-21,41
2022-08-28,32
2022-09-04,74
2022-09-11,100
2022-09-18,42
2022-09-25,22
2022-10-02,0
2022-10-09,62
2022-10-16,77
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,26
2022-11-27,29
2022-12-04,39
2022-12-11,35
2022-12-18,48
2022-12-25,74
