Categoria: Compras

Semana,socorro são paulo: (Mundo)
2022-01-02,38
2022-01-09,0
2022-01-16,30
2022-01-23,81
2022-01-30,0
2022-02-06,37
2022-02-13,48
2022-02-20,14
2022-02-27,49
2022-03-06,29
2022-03-13,100
2022-03-20,20
2022-03-27,55
2022-04-03,66
2022-04-10,48
2022-04-17,50
2022-04-24,47
2022-05-01,37
2022-05-08,0
2022-05-15,67
2022-05-22,29
2022-05-29,24
2022-06-05,52
2022-06-12,26
2022-06-19,23
2022-06-26,47
2022-07-03,71
2022-07-10,27
2022-07-17,40
2022-07-24,24
2022-07-31,58
2022-08-07,43
2022-08-14,28
2022-08-21,34
2022-08-28,0
2022-09-04,31
2022-09-11,64
2022-09-18,32
2022-09-25,0
2022-10-02,42
2022-10-09,45
2022-10-16,34
2022-10-23,0
2022-10-30,0
2022-11-06,46
2022-11-13,42
2022-11-20,42
2022-11-27,50
2022-12-04,18
2022-12-11,21
2022-12-18,0
2022-12-25,0
