Categoria: Compras

Semana,bom retiro são paulo: (Mundo)
2022-01-02,36
2022-01-09,0
2022-01-16,32
2022-01-23,27
2022-01-30,0
2022-02-06,35
2022-02-13,77
2022-02-20,50
2022-02-27,25
2022-03-06,0
2022-03-13,23
2022-03-20,20
2022-03-27,42
2022-04-03,20
2022-04-10,59
2022-04-17,35
2022-04-24,28
2022-05-01,0
2022-05-08,40
2022-05-15,39
2022-05-22,0
2022-05-29,0
2022-06-05,38
2022-06-12,37
2022-06-19,0
2022-06-26,28
2022-07-03,27
2022-07-10,0
2022-07-17,27
2022-07-24,27
2022-07-31,0
2022-08-07,26
2022-08-14,49
2022-08-21,35
2022-08-28,31
2022-09-04,26
2022-09-11,0
2022-09-18,0
2022-09-25,48
2022-10-02,100
2022-10-09,0
2022-10-16,33
2022-10-23,45
2022-10-30,22
2022-11-06,0
2022-11-13,96
2022-11-20,59
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,38
