Categoria: Compras

Semana,tatuapé são paulo: (Mundo)
2022-01-02,0
2022-01-09,30
2022-01-16,41
2022-01-23,16
2022-01-30,32
2022-02-06,73
2022-02-13,53
2022-02-20,34
2022-02-27,20
2022-03-06,48
2022-03-13,37
2022-03-20,21
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,17
2022-04-24,28
2022-05-01,32
2022-05-08,30
2022-05-15,29
2022-05-22,31
2022-05-29,40
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,18
2022-07-10,59
2022-07-17,32
2022-07-24,100
2022-07-31,0
2022-08-07,38
2022-08-14,20
2022-08-21,57
2022-08-28,25
2022-09-04,0
2022-09-11,62
2022-09-18,29
2022-09-25,30
2022-10-02,32
2022-10-09,39
2022-10-16,27
2022-10-23,23
2022-10-30,0
2022-11-06,19
2022-11-13,23
2022-11-20,24
2022-11-27,30
2022-12-04,0
2022-12-11,40
2022-12-18,22
2022-12-25,0
