Categoria: Compras

Semana,campo limpo são paulo: (Mundo)
2022-01-02,59
2022-01-09,0
2022-01-16,55
2022-01-23,0
2022-01-30,77
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,90
2022-03-06,0
2022-03-13,26
2022-03-20,0
2022-03-27,28
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,62
2022-05-08,42
2022-05-15,37
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,31
2022-06-26,100
2022-07-03,0
2022-07-10,35
2022-07-17,0
2022-07-24,0
2022-07-31,49
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,28
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,29
2022-10-02,0
2022-10-09,28
2022-10-16,26
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,27
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,58
