,author_id,tweet_id,created_at,text
0,226338570,1630007364177784833,2023-02-27,"Deixamos escapar dois pontos importantíssimos,que poderão nos custar caro?! Deixamos!
Mas ser Corinthians é saber que até o apito final,tudo pode acontecer,seja para o lado bom ou para o lado ruim.Sempre sofrido.
Bora para o próximo!

Bola pra frente,que lá no Parque é assim!🏴🏳️"
1,807860929,1629999842213634049,2023-02-27,Quebrei meu fone https://t.co/mEOMHkG2m0
2,32792380,1629951272567570434,2023-02-26,"Eu amo o Bloco Oração e todo mundo envolvido (@ Pinheiros - @sp_prefeitura in São Paulo, SP w/ @fermellosouza @italles @alemaobruno @duuhx_ @ageografa @_kafeliix) https://t.co/WW4d0DJ9AB https://t.co/sUitGpSAoD"
3,1105921024003059712,1629915595381653504,2023-02-26,Almoço tarde hoje... só nós dois... https://t.co/zXu6mgaUGp
4,1286698772492427264,1629905884703862785,2023-02-26,"Conhecendo hoje o Sesc Pinheiros
#cultura #turistandosp #sescpinheiros"
5,1479078276865871876,1629895337514090498,2023-02-26,@andreia31695672 😍 Lindíssima!!! ♥️
6,1479078276865871876,1629892013700128774,2023-02-26,@BolsonarotRazao 🇧🇷🇧🇷🇧🇷 #FechadoComBolsonaro 2️⃣2️⃣
7,713529201157095424,1629870103788417024,2023-02-26,"Esse é o momento. Venha morar no Ibirapuera Park Houses !
Apartamentos então incríveis e para vc que que pensa em compactar sua vida, e quer continuar morando bem, aqui tbm temos o Studio House, um luxo, não tem como não se apaixonar! Chame e vamos conversar. https://t.co/ROYeD235Pv"
8,1564908077618454529,1629861440013082625,2023-02-26,"25.02.2023
Simples, mas muito especial. Eu amo demais essas garotas, demais mesmo. https://t.co/CZw2S9Xznd"
9,1191725339074060290,1629679934070312960,2023-02-26,Vamos de Neozelandês Cabernet Sauvignon https://t.co/YDMBsXq112
10,15774970,1629655771926413312,2023-02-26,"As exposições de 2014 no MIS e 2017 no Memorial da America Latina foram emocionantes. 🥹
#CasteloRaTimBum https://t.co/zKVQKmMxkg"
11,64808395,1629648523032510467,2023-02-26,😋 https://t.co/8rNN1Tdf4M
12,61008704,1629632299049402369,2023-02-25,https://t.co/iqYZZj7PpZ
13,154630442,1629627587663208448,2023-02-25,esse mês ninguém tira minha carteirinha de cinéfila 😌 https://t.co/1we38cco4W
14,161775132,1629578414637154305,2023-02-25,Meu gatão 🖤❤️ https://t.co/5KWiMophgO
15,242205685,1629566475009683456,2023-02-25,"I'm at Shopping Iguatemi in São Paulo, SP https://t.co/qIlI8zvwyj"
16,95315910,1629539126784454658,2023-02-25,"I'm at LIV - Escritório in São Paulo, SP https://t.co/3DPwzgnVLy"
17,929079484174798850,1629538258228060160,2023-02-25,@lagartix5 Saúde! 🍻 https://t.co/LbrL5a1ypL
18,68188245,1629525778915291139,2023-02-25,"Instalações excelentes, loja organizada e limpa. 👍. Estava curtindo a experiência da Renata com a #Claro , até perder 20 min na loja com 2 atendentes😎… e quando fui perguntar porque tantas pessoas sem atender e (somente) a ela esperando recebi aquele 😒 👉🏻fila? #Claro 👎👎 https://t.co/szsQSH6PBK"
19,1087684449607794688,1629519004325892100,2023-02-25,que noite incrível! @MCRashid 💙💙💙 https://t.co/1HAw524yy9 https://t.co/sK0SKviP9d
20,1059736961307545602,1629495894130192385,2023-02-25,Nós @LeyllahDBlack ✊🏾🤎🔑 https://t.co/s9O0tNI2a4
21,82674158,1629491606331039747,2023-02-25,🥹 https://t.co/sf73M2zmiC
22,73493771,1629465707464237056,2023-02-25,"I'm at Styllos Panificadora - @styllos_padaria in São Paulo, SP https://t.co/GYaCPHtkZM"
23,73493771,1629450542408671232,2023-02-25,I'm at @SmartFitOficial in São Paulo https://t.co/QNIX7SDfzB
24,1254945923370749953,1629442133865254914,2023-02-25,Movimento Rápido dos Olhos @MCRashid https://t.co/Ia6E7ImLh8
25,817779697903894529,1629434174070202368,2023-02-25,"Liberta tua mente para ela não desandar, lembra que é valente quando as águas do mar… https://t.co/ZFX65VdwU3"
26,1209717380273836038,1629360479452766208,2023-02-25,passo mal de como a MC Tha é muito artista véi que show delicioso https://t.co/UFfTq282Uh https://t.co/D91mYWCn6f
27,1243380420139462656,1629330341142880258,2023-02-25,vou postar aqui pra não desperdiçar o tempo que foi pra tirar essas fotos peupqwuwuwuwupwu🤟🤟🤟 https://t.co/JxDutUVGAb
28,517086055,1629321913892831232,2023-02-25,🚀💥
29,10164502,1629318787051794434,2023-02-25,"I'm at @ApplebeesBr in São Paulo, SP https://t.co/mh5Ed772c6 https://t.co/bXhXEyRlOV"
