Categoria: Artes e entretenimento

Semana,lapa são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,50
2022-01-30,0
2022-02-06,35
2022-02-13,30
2022-02-20,33
2022-02-27,52
2022-03-06,0
2022-03-13,66
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,39
2022-04-24,22
2022-05-01,84
2022-05-08,0
2022-05-15,47
2022-05-22,0
2022-05-29,27
2022-06-05,64
2022-06-12,37
2022-06-19,0
2022-06-26,0
2022-07-03,47
2022-07-10,57
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,34
2022-08-28,62
2022-09-04,28
2022-09-11,31
2022-09-18,42
2022-09-25,0
2022-10-02,63
2022-10-09,0
2022-10-16,0
2022-10-23,27
2022-10-30,36
2022-11-06,38
2022-11-13,100
2022-11-20,48
2022-11-27,0
2022-12-04,42
2022-12-11,36
2022-12-18,0
2022-12-25,86
