Categoria: Artes e entretenimento

Semana,ipiranga são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,25
2022-02-13,0
2022-02-20,0
2022-02-27,24
2022-03-06,0
2022-03-13,0
2022-03-20,22
2022-03-27,0
2022-04-03,16
2022-04-10,33
2022-04-17,14
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,18
2022-06-05,19
2022-06-12,0
2022-06-19,34
2022-06-26,43
2022-07-03,0
2022-07-10,17
2022-07-17,30
2022-07-24,0
2022-07-31,23
2022-08-07,0
2022-08-14,27
2022-08-21,56
2022-08-28,0
2022-09-04,100
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,29
2022-10-09,0
2022-10-16,28
2022-10-23,0
2022-10-30,23
2022-11-06,43
2022-11-13,87
2022-11-20,0
2022-11-27,38
2022-12-04,28
2022-12-11,25
2022-12-18,48
2022-12-25,0
