sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
0,64,100,100,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,59,0,96,0,0,0,0,0,0,48,0,0,0,0,0,43,73,100,0,100,0,0,0,0,0,53,0,0,0,0,38,0,0,0,0,0,74
0,0,85,85,39,70,0,0,0,34,0,100,0,0,0,24,0,100,0,0,46,0,0,67,0,0,0,0,0,61,0,63,29,0,89,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,64,0,0,0,0,0,0,0
97,0,49,49,60,0,0,49,0,53,0,0,0,0,0,0,100,0,0,0,100,96,0,0,0,0,0,0,0,0,56,100,0,0,0,86,0,100,0,0,0,0,0,43,0,30,0,33,0,0,0,67,100,0,0,0,0,0,0,0,0,74,26,92,37,0,0,0,47
0,33,81,81,0,0,0,0,0,34,41,56,0,28,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,45,0,40,0,65,0,0,100,0,99,0,0,0,100,0,0,0,39,0,32,0,24,0,0,0,39,100,0,0,0,0,0,0,0,0,38,0,0,66,0
82,0,0,0,0,35,30,32,0,0,0,0,68,0,0,0,0,57,0,0,51,0,0,0,0,0,0,49,0,0,0,0,0,17,74,0,0,50,0,0,0,0,58,0,0,71,0,0,0,0,100,0,0,46,0,50,0,100,48,0,33,0,0,0,0,0,95,0,0
0,0,0,0,0,0,31,0,0,40,50,22,0,0,100,100,0,37,73,0,0,0,0,0,30,0,0,60,0,0,0,0,0,100,0,65,0,0,0,0,0,0,28,0,0,0,0,97,0,38,36,62,0,0,0,97,0,0,0,0,0,0,0,0,0,37,0,0,87
0,21,0,0,0,100,0,0,0,0,0,25,0,0,33,19,39,0,0,0,50,0,0,0,0,0,0,0,0,0,0,30,39,36,52,0,0,0,0,0,0,0,0,33,100,0,0,24,0,33,0,0,0,0,81,0,0,0,28,0,0,0,0,0,0,0,0,55,0
0,0,31,31,0,0,0,0,0,51,0,0,86,0,0,0,0,23,56,23,32,40,0,0,0,0,0,0,0,0,31,0,0,18,54,0,0,0,0,0,0,0,0,0,0,32,0,23,0,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
23,0,0,0,0,0,0,0,0,43,0,47,55,0,27,31,0,23,0,0,19,0,0,0,0,0,0,44,0,56,100,28,0,0,0,39,33,0,0,0,0,0,0,35,0,0,0,100,0,0,0,86,0,0,59,0,0,0,0,0,83,0,27,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,36,0,30,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,39,0,39,38,53,0,32,0,0,43,37,0,0,0,28,0,0,0,28,0,28,0,0,24,0,0,0,53,0,0,0,0,0,0,0,15,0,0,0,90,42,0
0,0,0,0,0,0,0,0,0,85,0,27,72,0,0,48,0,0,0,0,0,28,0,0,0,69,0,0,0,0,0,22,79,0,71,0,0,0,0,0,0,0,0,44,0,0,44,24,24,0,49,0,0,0,50,0,24,0,0,0,0,0,0,0,22,0,38,56,0
0,0,0,0,51,27,25,0,0,0,54,25,0,0,0,43,0,0,0,24,26,66,0,0,0,0,0,27,0,38,35,31,31,17,0,53,0,0,0,0,100,0,0,0,0,0,0,46,0,35,0,0,0,0,0,50,0,48,0,0,0,0,0,0,0,34,0,34,0
0,0,0,0,21,34,0,21,0,0,64,23,52,0,41,20,0,0,0,0,0,0,0,0,0,0,0,61,0,70,0,0,18,18,100,0,0,0,0,0,0,0,0,17,0,0,32,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,30,0,0,50,0,0,54
53,0,34,34,0,22,0,0,0,0,0,65,35,0,0,21,23,0,0,0,29,0,0,0,0,0,0,59,0,71,0,0,0,0,0,0,0,0,51,0,0,0,0,0,51,46,0,55,0,0,0,0,0,0,0,0,37,0,0,0,0,0,26,0,0,0,31,51,0
0,0,0,0,0,0,0,26,51,60,0,0,41,0,0,0,0,18,0,0,23,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,20,0,45,0,0,0,94,0,0,0,0,0,0,68,0,0,57,0,0,0,48,48
0,21,80,80,0,0,29,24,0,21,0,56,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,32,0,26,0,0,33,0,34,0,0,46,0,0,21,0,0,0,69,0,0,0,80,0,0,0,0,19,0,77,0,0,0,0,0,0,62,0,19,62
64,29,0,0,0,0,30,0,0,100,0,0,0,46,0,32,26,0,0,51,0,40,0,0,0,39,0,0,0,0,0,0,0,22,27,42,62,55,0,0,0,0,0,19,0,17,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,26,0,0,69
69,33,0,0,100,43,0,0,0,40,0,27,28,0,0,16,0,19,0,27,0,0,0,82,0,0,0,0,0,47,0,0,33,81,28,82,0,0,0,0,94,0,0,0,24,30,0,30,0,0,0,0,33,0,88,49,0,35,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,27,0,0,0,0,0,16,0,0,38,24,23,29,0,0,0,0,0,60,33,37,0,0,0,93,47,0,0,29,0,0,0,0,0,0,51,0,0,0,0,37,0,19,0,0,0,0,0,0,0,94,23,0,0,0,0,0,33,0,0,0,0,0,0
68,0,60,60,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,100,0,21,48,0,0,0,33,0,0,35,23,0,0,0,0,0,0,0,24,22,0,0,0,74,38,0,0,0,0,0,0,34,0,0,0,0,30,0,44,0,0,0,0,0,100,0
31,0,0,0,0,26,0,0,0,38,0,50,0,40,0,29,0,0,67,0,0,38,47,0,0,44,0,0,0,85,40,36,23,24,0,0,0,0,0,0,0,0,0,21,0,18,0,0,0,0,0,0,68,0,0,45,0,0,0,59,0,33,0,0,24,0,0,40,0
0,37,0,0,0,0,0,0,0,0,0,32,37,0,0,0,39,0,0,0,0,0,0,0,0,0,0,42,43,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,26,0,0,0,0,23,31,0,71,0,0,0,0,0,39,0,0,0,26,0,36,0
