sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
0,0,0,57,57,0,0,0,0,43,0,0,36,0,0,0,0,0,51,81,0,0,38,0,0,53,0,29,64,0,0,0,58,0,0,0,0,0,0,65,0,100,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,72,0,0,0,40,43
0,33,32,41,56,0,0,67,0,82,0,100,0,100,0,0,0,0,0,36,0,0,0,0,31,0,0,56,0,43,0,0,53,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
0,47,0,0,0,0,0,0,0,25,0,38,0,0,48,32,0,0,47,30,71,0,0,89,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,60,0,0,0,0,100,0,100,0,0,0,0,0,0,54,0,0,0,0,0,21,24,0,0,0,0,43,37,61,0
0,0,0,0,0,0,21,0,0,0,0,0,32,0,0,23,0,0,0,24,0,68,0,0,0,0,0,100,24,50,0,0,0,0,0,0,0,0,0,33,58,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,48,34,0,0,0,0,0,0,0,0,65
0,100,75,70,0,26,30,0,0,100,0,0,0,0,0,0,0,0,0,72,0,0,0,100,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,62,0,0,0,0,0,0,34,0,0,0,37,0,67,0,43,0,0,100,0,0,45
100,0,0,0,0,0,60,0,53,0,0,0,0,0,55,28,26,57,27,57,0,0,0,0,87,0,64,0,0,0,0,63,0,0,0,0,0,68,0,53,0,0,0,0,21,42,0,0,0,0,100,100,0,0,51,0,0,0,60,0,0,100,75,29,0,0,0,0,31
0,18,33,0,0,0,69,0,0,56,0,0,0,0,0,0,0,27,0,22,0,0,0,0,0,0,0,19,0,31,39,74,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
26,0,57,0,0,100,23,0,0,18,0,0,0,0,0,0,33,0,0,48,44,0,0,0,0,0,0,0,0,0,0,0,0,25,0,88,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,65,0,42,0,84,18,0,0,69,0,0,0,0,42,0
0,0,0,0,0,0,23,0,0,0,0,56,14,0,0,0,0,0,0,66,0,0,61,0,27,37,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,17,58,0,0,70,0,90,0,0,0,0,0,0,0,0,0,0,0,23,32,0,0,0,70,0,0,0,27
0,24,0,0,38,32,14,0,38,21,0,0,0,26,0,19,100,26,0,66,0,0,54,0,0,35,0,0,33,37,0,100,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,94,0,0,0,27,0,16,0,0,0,0,0,59,0,0,0
43,21,33,0,0,27,49,0,0,0,0,0,0,37,0,21,65,0,0,50,0,0,0,0,0,0,0,37,0,0,0,70,100,41,20,0,72,0,0,83,0,31,0,28,0,37,0,100,0,43,0,0,0,0,0,100,0,38,54,23,47,0,0,0,0,0,0,0,20
24,0,22,0,0,0,35,0,0,26,0,49,23,19,0,0,0,0,0,28,94,0,0,0,0,35,0,0,0,0,37,0,30,41,0,0,0,0,0,0,0,0,0,100,0,30,0,42,38,22,0,0,38,0,0,0,41,0,54,15,0,0,0,0,0,0,0,0,0
0,20,29,0,45,50,56,0,0,0,79,0,18,27,59,45,0,0,0,66,100,0,0,0,100,68,0,0,0,0,0,0,58,0,30,0,0,0,0,26,0,0,22,0,0,0,0,84,93,0,0,0,42,0,0,0,47,0,0,47,0,0,0,57,0,0,0,0,28
45,0,57,38,0,0,36,0,0,42,0,0,0,0,0,0,0,0,0,24,31,29,0,0,0,0,0,75,0,0,71,0,50,0,0,64,0,0,0,0,0,0,0,21,0,55,0,0,0,21,74,0,0,0,0,0,0,0,0,40,16,0,0,44,0,0,0,0,24
0,0,100,29,0,0,49,0,0,24,0,56,0,0,0,46,0,0,0,95,0,0,0,0,0,0,0,0,48,0,100,0,30,0,37,0,0,0,0,0,0,0,0,37,0,0,0,0,42,0,0,0,0,0,0,36,0,0,44,0,0,0,0,0,63,0,19,71,0
47,71,23,0,45,28,29,0,0,37,0,0,0,0,0,0,0,0,20,32,0,0,0,0,32,0,93,39,0,0,18,0,0,0,81,43,0,0,0,62,0,0,100,0,0,32,25,33,0,0,0,0,0,0,0,0,100,0,0,21,0,0,0,69,0,0,0,0,31
0,0,35,0,0,62,33,99,92,0,0,0,59,0,0,0,25,41,0,79,0,0,0,0,0,0,79,0,18,0,0,30,32,0,0,0,0,0,94,0,69,0,0,27,0,0,55,47,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,32,27
0,0,34,0,0,24,0,0,0,0,0,0,18,0,0,46,0,0,0,33,0,0,0,0,0,0,0,0,0,0,21,0,43,24,0,0,0,0,0,0,0,14,39,38,21,45,89,0,0,0,0,0,41,0,32,35,0,65,0,0,43,0,0,0,0,0,0,37,91
49,0,0,0,0,18,23,0,0,0,78,0,0,0,77,47,0,0,29,44,0,0,0,0,0,0,0,0,0,57,0,0,0,0,19,0,0,0,0,0,38,0,0,53,0,43,0,72,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,45,0,0,65
33,0,0,0,37,0,31,37,0,0,0,0,22,0,0,39,0,48,25,32,0,0,0,0,0,0,0,0,0,0,28,0,57,0,0,64,0,0,0,0,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,31,0,0,0,58,0,0,0,0,0,33
0,0,0,100,0,0,20,0,0,0,0,0,0,0,64,40,0,0,0,38,0,0,48,0,39,0,0,55,0,35,59,0,0,0,0,0,0,0,40,32,65,0,0,24,0,35,0,0,0,0,0,0,0,0,0,0,0,100,76,18,20,0,100,0,0,0,0,0,0
0,0,55,0,0,0,36,0,0,0,0,37,64,35,0,0,0,29,41,65,0,0,0,0,0,30,0,19,0,0,0,0,80,0,0,0,0,61,0,0,0,0,27,0,0,0,74,0,0,0,0,96,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
