sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
0,48,0,0,100,0,59,0,0,100,0,0,83,100,0,60,0,0,0,0,97,0,0,0,0,0,0,0,0,0,100,0,80,42,67,0,0,0,0,0,54,100,38,52,75,76,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,44,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0,63,0,0,0,31,38,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,56,0,0,0,47,0,0,0,66,0,58,0,45,0,71,0,0,0,0,0,100,0,36,0,0,31,0,0,0,82,0,0,0,74,0,0
0,0,0,64,0,51,0,0,0,0,0,0,0,0,0,29,83,0,43,0,0,0,0,0,0,24,58,47,0,39,0,0,0,0,29,0,0,0,0,0,43,78,0,0,0,58,0,100,0,0,54,60,0,0,0,0,59,0,0,0,81,0,0,0,40,0,52,0,0
0,43,0,64,0,0,26,0,0,0,0,0,0,0,0,32,0,0,0,0,0,75,0,0,0,100,44,78,0,0,49,42,0,0,32,0,56,0,0,0,39,0,18,0,0,61,0,0,73,59,0,0,0,0,0,0,39,30,0,0,0,0,0,0,0,44,0,0,0
0,0,0,0,0,0,26,36,0,79,0,0,39,48,0,0,46,0,0,0,0,0,0,53,83,0,0,0,72,75,0,0,85,0,39,0,0,0,0,0,90,0,28,0,0,34,0,0,0,58,0,0,0,0,0,68,0,0,40,0,50,100,0,41,0,0,0,0,0
0,0,51,0,0,21,0,0,0,0,0,0,0,0,0,0,74,0,0,0,100,0,0,0,41,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,0,0,0,0,73,0,0,0,0,0,0,23,0,42,0,0,72,0,100,0,0,67
0,34,0,0,0,27,15,0,0,0,0,30,0,84,0,22,63,0,59,47,90,0,0,0,0,0,40,32,0,54,0,32,0,24,0,26,0,38,0,0,0,0,0,0,32,24,50,27,68,0,0,20,0,68,0,0,0,0,22,0,54,0,0,0,0,0,0,0,24
21,0,0,51,64,40,10,39,0,0,0,26,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,65,0,0,0,0,0,20,0,0,0,0,0,0,88,24,0,0,0,0,0,0,0,0,25,26,0,0,0,37,0,100,0,0,58,48,0,0,0,0,0,33
0,0,41,0,0,0,0,0,55,0,35,0,65,0,0,17,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,20,34,0,26,77,29,0,43,47,0,100,0,38,28,75,0,0,0,0,0,0,87,0,0,0,23,0,0,0,0,0,0,82,0,0,37
0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,0,0,0,0,41,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,100,76,0,0,0,0,0,49,0,0,0,0,49,0,88,0,0,0,63,22,0,0,0,53,0,0,0,0,0,28,41
