sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
36,0,96,0,0,0,100,0,0,13,0,100,57,31,0,0,0,100,0,0,64,0,70,0,0,0,100,56,0,43,0,0,0,72,60,0,0,0,0,0,66,27,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,46,0
0,60,0,0,0,52,49,0,0,0,0,0,68,0,40,66,100,0,0,0,47,69,0,39,0,0,0,61,0,0,44,0,44,95,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,100,0,0,0,0,77,0,0,0,0,0,0,0,23
0,0,63,0,0,100,86,0,100,15,0,0,38,0,83,31,0,0,0,0,0,0,0,0,41,0,0,0,0,35,0,0,59,58,0,0,53,0,0,0,39,0,97,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,61,0,55,0,0,0,0,0,0
0,27,0,28,0,58,0,79,22,10,0,23,0,46,0,0,64,0,0,0,57,0,47,0,0,0,44,59,35,67,54,78,35,62,0,0,0,0,0,0,0,0,97,0,0,0,35,62,0,0,0,0,0,0,0,0,0,33,0,13,0,0,0,0,0,0,0,72,0
33,0,54,0,0,43,26,0,0,54,0,0,58,0,57,0,87,0,0,0,48,0,0,0,23,34,0,0,0,0,74,0,62,20,20,0,0,0,0,100,47,0,0,55,100,0,0,45,0,0,0,0,0,0,0,0,0,100,89,0,0,0,0,0,0,0,0,0,0
0,28,66,91,100,0,0,0,0,10,0,75,32,41,0,61,0,0,100,0,0,46,32,0,0,32,0,0,45,0,28,31,0,78,0,87,0,100,0,0,0,31,0,0,0,44,0,0,0,42,100,27,0,0,0,0,47,0,0,24,50,0,0,0,0,0,69,0,0
21,0,0,26,0,62,0,0,18,17,0,13,33,34,0,51,29,0,0,0,0,0,0,0,26,0,0,78,0,0,0,20,62,30,0,90,0,0,39,15,98,0,61,0,20,0,0,0,100,0,54,0,0,0,0,0,34,34,0,0,0,48,0,0,0,0,0,26,21
22,0,0,0,0,68,0,0,0,0,0,18,30,0,0,39,44,0,0,0,0,60,22,0,0,65,0,59,72,0,14,0,36,35,0,0,0,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,67,28,51,0,0,0,0,0,0,33,0
0,28,0,23,0,34,0,31,0,12,0,46,68,0,0,35,75,30,0,0,29,0,30,0,20,0,0,27,0,0,16,0,68,23,29,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,15,0,0,27,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,34,68,0,23,0,32,68,46,58,0,0,100,54,33,0,50,24,0,77,0,29,15,0,50,40,52,60,0,0,85,0,0,0,35,40,27,0,100,24,0,0,0,0,0,0,0,0,0,0,0,45,39,0,37,0,0,0,0,67,16
