,area,hom_dol,vitimas_hom_dol,vit_dol_transito,hom_culposo_transito,hom_culposo,tentativa_homicidio,les_corp_morte,les_corp_dol,les_corp_culposa_transito,les_corp_culposa,latrocinio,n_vitimas_latroc,total_estupro,estup,estup_vulneravel,total_roubo,roub_out,roub_veic,roubo_banco,roubo_carga,furt_out,furt_veic,total_homicidios,total_vitimas_homicidio,total_les_corporal,total_roubo2,total_furt
27,56,4.0,5.0,0.0,7.0,0.0,5.0,0.0,302.0,169.0,6.0,1.0,1.0,22.0,8.0,14.0,1501.0,1457.0,202.0,0.0,44.0,2109.0,454.0,11.0,5.0,477.0,1703.0,2563.0
28,58,0.0,0.0,0.0,4.0,0.0,0.0,0.0,150.0,72.0,11.0,1.0,1.0,6.0,1.0,5.0,472.0,468.0,100.0,0.0,4.0,854.0,1015.0,4.0,0.0,233.0,572.0,1869.0
29,60,1.0,1.0,0.0,5.0,0.0,2.0,1.0,300.0,198.0,10.0,0.0,0.0,11.0,5.0,6.0,1388.0,1366.0,198.0,0.0,22.0,3249.0,1894.0,6.0,1.0,509.0,1586.0,5143.0
30,62,0.0,0.0,0.0,3.0,0.0,0.0,0.0,115.0,81.0,6.0,1.0,1.0,8.0,2.0,6.0,392.0,384.0,87.0,0.0,8.0,633.0,484.0,3.0,0.0,202.0,479.0,1117.0
31,64,0.0,0.0,0.0,6.0,0.0,3.0,0.0,355.0,85.0,7.0,1.0,1.0,41.0,5.0,36.0,1179.0,1167.0,201.0,0.0,12.0,1697.0,507.0,6.0,0.0,447.0,1380.0,2204.0
32,66,4.0,4.0,0.0,15.0,0.0,9.0,0.0,358.0,172.0,6.0,2.0,2.0,38.0,10.0,28.0,1126.0,1027.0,306.0,0.0,99.0,1558.0,667.0,19.0,4.0,536.0,1432.0,2225.0
33,68,8.0,9.0,0.0,5.0,1.0,9.0,0.0,349.0,231.0,3.0,1.0,1.0,12.0,2.0,10.0,1591.0,1569.0,216.0,1.0,21.0,3141.0,450.0,14.0,9.0,583.0,1807.0,3591.0
34,70,4.0,4.0,0.0,5.0,2.0,9.0,1.0,385.0,110.0,36.0,5.0,5.0,29.0,9.0,20.0,2095.0,2070.0,406.0,0.0,25.0,3021.0,287.0,11.0,4.0,532.0,2501.0,3308.0
35,72,2.0,2.0,0.0,2.0,0.0,0.0,0.0,188.0,92.0,15.0,0.0,0.0,3.0,1.0,2.0,1463.0,1463.0,47.0,0.0,0.0,3692.0,332.0,4.0,2.0,295.0,1510.0,4024.0
36,74,32.0,36.0,0.0,13.0,0.0,20.0,1.0,749.0,255.0,3.0,1.0,1.0,61.0,11.0,50.0,4316.0,4261.0,434.0,0.0,55.0,3065.0,543.0,45.0,36.0,1008.0,4750.0,3608.0
37,76,7.0,7.0,0.0,4.0,0.0,4.0,0.0,448.0,181.0,16.0,2.0,2.0,44.0,9.0,35.0,984.0,961.0,56.0,0.0,23.0,1900.0,324.0,11.0,7.0,645.0,1040.0,2224.0
38,78,4.0,5.0,0.0,2.0,0.0,7.0,1.0,466.0,180.0,9.0,1.0,1.0,36.0,9.0,27.0,1191.0,1165.0,96.0,0.0,26.0,2439.0,709.0,6.0,5.0,656.0,1287.0,3148.0
39,80,3.0,3.0,0.0,5.0,0.0,1.0,3.0,290.0,93.0,9.0,2.0,2.0,24.0,9.0,15.0,823.0,787.0,94.0,0.0,36.0,1866.0,398.0,8.0,3.0,395.0,917.0,2264.0
40,82,3.0,3.0,0.0,0.0,0.0,14.0,1.0,374.0,111.0,3.0,0.0,0.0,40.0,12.0,28.0,1532.0,1512.0,168.0,0.0,20.0,1731.0,764.0,3.0,3.0,489.0,1700.0,2495.0
41,84,2.0,2.0,0.0,3.0,0.0,3.0,0.0,245.0,81.0,6.0,0.0,0.0,30.0,11.0,19.0,1016.0,1009.0,217.0,0.0,7.0,1135.0,900.0,5.0,2.0,332.0,1233.0,2035.0
42,86,3.0,3.0,0.0,8.0,0.0,6.0,1.0,325.0,105.0,1.0,0.0,0.0,25.0,6.0,19.0,1239.0,1234.0,233.0,0.0,5.0,1149.0,142.0,11.0,3.0,432.0,1472.0,1291.0
43,88,11.0,11.0,1.0,1.0,1.0,9.0,3.0,404.0,89.0,4.0,0.0,0.0,46.0,11.0,35.0,1941.0,1911.0,366.0,0.0,30.0,1625.0,361.0,13.0,12.0,500.0,2307.0,1986.0
44,90,5.0,5.0,0.0,3.0,0.0,7.0,0.0,270.0,85.0,3.0,0.0,1.0,24.0,7.0,17.0,668.0,652.0,68.0,0.0,16.0,951.0,157.0,8.0,5.0,358.0,736.0,1108.0
45,92,9.0,9.0,0.0,30.0,0.0,19.0,0.0,655.0,225.0,3.0,1.0,1.0,81.0,22.0,59.0,2145.0,1977.0,482.0,0.0,168.0,2056.0,411.0,39.0,9.0,883.0,2627.0,2467.0
