,area,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,verified,protected,anos_ativo,tweets_por_ano,followers_por_ano,following_por_ano,qtd_users
11,12,3,0,0,3,0,50,0,0,73,72,0,1,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,4,0,0,0,8,0,1,92,21,4,18,1,12,0,0,2,3,0,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,12,3,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0.0147783251231527,0.0459770114942528,8.274220032840722,4651.15,844.23,62.54,623
12,13,2,0,0,2,0,12,0,1,10,11,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,4,1,0,16,1,7,0,0,0,6,1,3,0,9,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0144752714113389,0.0494571773220747,9.094089264173704,546.07,24625.57,21.5,844
13,14,62,0,1,39,0,90,0,5,24,192,2,1,1,1,5,0,1,9,0,23,1,31,0,0,1,1,0,10,0,0,0,12,0,0,119,10,5,80,4,24,0,0,3,9,0,2,0,27,0,2,5,0,0,1,1,1,0,3,0,0,0,0,1,0,3,0,0,0,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,4,0,0,0,1,0,0,0,0,15,3,0,0,0,0,0,0,0,0.0186536901865369,0.0478507704785077,9.38118410381184,9758.14,421.21,64.07,2491
14,15,7,0,0,21,1,15,0,0,4,64,0,0,0,1,1,0,0,2,0,13,0,56,0,0,0,0,0,1,0,1,0,4,0,0,17,9,0,18,0,32,0,0,3,0,4,0,0,13,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,6,0,0,0,0,0.0234786775275515,0.0378533780546238,9.535697172975564,10962.91,139.45,453.27,2129
15,16,4,0,0,13,0,32,0,2,15,34,3,3,0,1,0,0,1,10,2,5,0,3,0,0,0,0,0,6,0,0,0,10,0,0,8,4,0,12,0,19,0,0,6,4,3,2,0,22,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0158371040723981,0.0361990950226244,9.334841628959277,1410.43,429.14,65.57,449
16,17,2,0,0,2,0,8,0,1,1,9,0,0,0,1,2,0,0,3,1,2,0,0,0,0,3,0,0,2,0,0,0,7,0,0,3,3,0,4,0,9,0,0,0,1,1,2,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0.0032310177705977,0.0500807754442649,8.991922455573505,569.5,49.14,77.64,634
17,18,4,0,0,0,0,4,0,0,5,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,1,0,3,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035087719298245,0.0561403508771929,8.912280701754385,795.45,19.27,35.64,288
18,19,2,0,0,0,0,11,0,1,29,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,3,0,2,0,0,1,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0151515151515151,0.0303030303030303,8.196969696969697,5651.2,940.6,515.8,137
19,20,0,0,0,1,0,10,0,0,6,9,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,1,0,5,0,4,0,0,2,1,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0097799511002444,0.0391198044009779,8.877750611246944,1645.33,41.33,72.83,418
20,21,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052910052910052,0.0211640211640211,7.957671957671957,74.43,25.0,61.64,191
21,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0533333333333333,8.153333333333334,23347.75,2712.5,445.0,154
22,23,15,0,0,5,0,11,0,1,6,36,2,0,0,0,0,0,0,1,0,7,0,15,0,0,1,0,0,0,0,0,0,2,0,1,5,1,1,28,0,4,1,0,1,0,0,0,0,7,1,3,1,0,0,2,0,0,0,3,0,1,0,0,3,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,2,5,0,0,0,0,0,0,0,0.01665825340737,0.0507319535588086,9.183997980817768,690.83,64.0,274.33,4016
23,24,0,0,0,2,0,1,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0080428954423592,0.0509383378016085,8.163538873994638,942.67,21982.0,224.0,387
24,25,2,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0056818181818181,0.0454545454545454,5.448863636363637,34.67,4.33,48.0,184
25,26,4,0,0,11,0,10,1,1,2,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,11,0,0,5,6,0,12,0,18,1,0,1,1,3,0,0,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0495867768595041,6.826446280991736,0.0,0.0,0.0,123
26,27,1,0,0,0,0,2,0,0,2,4,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,1,5,0,3,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0274361400189214,0.0501419110690633,9.237464522232736,1357.71,48.93,46.43,1073
27,28,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0098684210526315,0.0328947368421052,8.894736842105264,1096.14,31.71,38.36,308
28,29,5,0,0,5,3,17,0,4,5,19,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,2,0,0,0,9,0,0,12,3,0,11,4,10,2,0,3,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.0160427807486631,0.0267379679144385,8.401069518716577,291.0,3.0,9.8,189
29,30,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0052173913043478,0.0452173913043478,8.497391304347826,665.08,12.92,9.33,595
30,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092592592592592,0.037037037037037,8.046296296296296,451.0,28.67,30.58,108
31,32,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0104986876640419,0.0419947506561679,7.1443569553805775,2206.71,769.43,61.14,393
32,33,0,0,1,2,0,8,0,0,0,12,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6,9,0,1,2,13,0,0,1,1,1,1,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0518518518518518,7.877777777777778,134.21,2.86,13.0,281
33,34,0,0,0,0,0,4,0,0,4,13,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,7,0,10,1,26,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,3,0,0,0,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0199379707576428,0.0536109880372175,9.116969428444838,1312.67,73.67,155.33,2281
34,35,6,0,0,13,10,21,0,1,2,40,1,0,0,1,1,0,0,6,0,39,0,6,0,0,0,0,0,1,0,0,0,10,0,0,9,3,0,7,0,13,0,0,9,2,1,1,0,12,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0162767039674465,0.0386571719226856,9.475076297049847,9064.75,502.5,794.5,994
35,36,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0227272727272727,0.0503246753246753,9.20995670995671,348.0,2.0,29.0,1878
36,37,1,0,0,0,1,3,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,4,0,0,4,1,1,0,0,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0074626865671641,0.0522388059701492,8.085820895522389,2467.5,57.75,95.38,271
37,38,3,0,0,2,0,21,0,3,36,20,1,2,0,0,1,0,0,3,0,1,0,1,0,0,1,0,0,9,0,0,0,2,0,0,5,3,0,7,1,3,0,0,2,6,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0.0106761565836298,0.0320284697508896,8.284697508896798,217.42,11.08,30.92,286
38,39,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066889632107023,0.0434782608695652,8.080267558528428,2920.36,8.86,31.93,305
39,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210084033613445,0.0378151260504201,9.323529411764708,28.71,6.57,28.57,240
40,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074626865671641,0.044776119402985,7.7164179104477615,2932.64,905.71,51.36,139
41,42,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0138888888888888,0.0347222222222222,8.284722222222221,1274.14,22.5,47.43,146
42,43,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037174721189591,0.0483271375464684,8.472118959107807,30.23,25.23,119.54,277
43,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0412371134020618,6.835051546391752,24.5,13.0,56.0,104
44,45,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,2,4,0,0,2,0,0,0,0,0.0,0.0326086956521739,8.826086956521738,1156.55,250.45,91.36,93
45,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0.0056285178236397,0.0525328330206379,7.317073170731708,70.5,15.0,39.0,1090
46,47,2,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067114093959731,0.0335570469798657,6.590604026845638,384.0,10.0,377.0,307
47,48,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0.0487012987012987,9.087662337662335,54.5,93.5,64.5,312
48,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061728395061728,0.0432098765432098,7.006172839506172,61.0,2.0,1.0,167
