,area,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,verified,protected,anos_ativo,tweets_por_ano,followers_por_ano,following_por_ano,qtd_users
0,1,8,0,0,13,2,35,0,4,3,71,0,3,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,49,3,0,20,9,50,0,0,2,1,0,1,0,16,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,3,0,0,5,0,0,0,0,0,0,0,0,36,7,2,0,0,0,0,0,0,0.0129640542133176,0.0309369475545079,9.786535061873897,1024.38,10.54,64.38,6833
1,2,1,0,0,2,7,4,0,0,11,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,0,0,6,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0.0124804992199688,0.0499219968798752,8.786271450858035,1285.07,74.29,138.71,652
2,3,15,0,0,13,0,30,0,0,5,59,1,0,0,0,0,0,1,1,1,8,1,1,0,0,1,1,0,1,0,0,0,0,0,0,37,4,0,17,0,24,2,0,1,2,0,1,0,10,0,1,1,0,1,2,1,3,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,11,5,0,0,6,0,0,0,0,0.0150240384615384,0.0510817307692307,8.802884615384615,172.75,8.42,24.92,1691
3,4,16,0,0,14,1,36,1,2,8,77,1,0,0,0,1,0,0,5,1,2,0,1,0,0,0,4,0,2,0,0,0,2,0,0,57,1,1,23,1,18,1,0,5,4,0,2,0,6,1,2,2,0,0,1,0,1,0,8,0,0,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.020314296665389,0.0551935607512456,9.085473361441164,36.0,8.0,82.5,2633
4,5,4,0,0,3,0,13,0,0,4,38,0,0,1,1,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,30,3,0,13,1,17,0,0,5,1,1,1,0,9,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0.0148178922586899,0.0342057886719291,9.708627613903891,1119.07,96.29,44.71,7261
5,6,9,0,0,3,2,14,0,2,6,41,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,7,0,0,0,10,0,0,1,2,0,6,1,17,0,0,1,7,0,1,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,10,1,0,0,37,0,0,0,0,0.0088105726872246,0.0484581497797356,8.831864904552129,1733.93,55.0,59.43,1386
6,7,8,0,0,2,1,18,0,0,1,13,0,0,1,0,1,0,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,5,1,0,16,0,3,0,0,2,4,0,0,0,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,1,0,0,0,0.0122807017543859,0.0368421052631578,9.552631578947368,274.21,862.36,9.57,1148
7,8,4,0,0,2,0,13,0,0,16,19,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,20,2,0,8,0,6,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0078864353312302,0.0441640378548895,8.588328075709779,518.71,12.71,44.71,650
8,9,3,0,0,1,0,29,0,2,25,34,1,1,0,2,1,0,0,3,0,0,0,2,0,0,2,0,0,7,0,1,0,1,0,2,13,9,0,14,8,0,1,0,2,3,0,2,0,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,1,2,0,0,1,0,0,3,2,6,7,1,0,0,0,0,0,1,0.0063191153238546,0.0647709320695102,9.04265402843602,12607.67,5941.67,167.67,639
9,10,0,0,0,1,0,4,0,0,1,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,0,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0168067226890756,0.0588235294117647,8.785714285714286,319.57,7032.79,2.71,241
10,11,2,0,0,18,2,15,0,2,1,28,0,0,2,0,1,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,9,0,0,14,9,0,6,4,10,0,0,0,1,2,0,0,11,1,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0.0127020785219399,0.0473441108545034,9.352193995381064,350.31,18.08,69.85,877
