Categoria: Empregos e educação

Semana,tatuapé são paulo: (Mundo)
2022-01-02,100
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,49
2022-02-06,60
2022-02-13,0
2022-02-20,0
2022-02-27,44
2022-03-06,39
2022-03-13,0
2022-03-20,27
2022-03-27,61
2022-04-03,59
2022-04-10,0
2022-04-17,27
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,42
2022-06-05,0
2022-06-12,0
2022-06-19,37
2022-06-26,27
2022-07-03,38
2022-07-10,0
2022-07-17,0
2022-07-24,27
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,42
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,39
2022-10-02,24
2022-10-09,0
2022-10-16,30
2022-10-23,0
2022-10-30,50
2022-11-06,0
2022-11-13,37
2022-11-20,26
2022-11-27,21
2022-12-04,36
2022-12-11,0
2022-12-18,59
2022-12-25,0
