Categoria: Empregos e educação

Semana,itaquera são paulo: (Mundo)
2022-01-02,0
2022-01-09,61
2022-01-16,0
2022-01-23,45
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,56
2022-03-06,39
2022-03-13,0
2022-03-20,38
2022-03-27,70
2022-04-03,71
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,47
2022-05-08,93
2022-05-15,33
2022-05-22,85
2022-05-29,0
2022-06-05,37
2022-06-12,0
2022-06-19,45
2022-06-26,0
2022-07-03,36
2022-07-10,0
2022-07-17,53
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,71
2022-08-21,100
2022-08-28,60
2022-09-04,75
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,72
2022-10-16,48
2022-10-23,0
2022-10-30,72
2022-11-06,0
2022-11-13,71
2022-11-20,44
2022-11-27,69
2022-12-04,77
2022-12-11,0
2022-12-18,0
2022-12-25,0
