Categoria: Empregos e educação

Semana,campo grande são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,66
2022-01-30,0
2022-02-06,0
2022-02-13,55
2022-02-20,15
2022-02-27,16
2022-03-06,42
2022-03-13,56
2022-03-20,34
2022-03-27,0
2022-04-03,51
2022-04-10,48
2022-04-17,19
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,100
2022-05-22,40
2022-05-29,36
2022-06-05,49
2022-06-12,85
2022-06-19,0
2022-06-26,25
2022-07-03,0
2022-07-10,0
2022-07-17,28
2022-07-24,46
2022-07-31,37
2022-08-07,50
2022-08-14,35
2022-08-21,30
2022-08-28,0
2022-09-04,25
2022-09-11,0
2022-09-18,38
2022-09-25,29
2022-10-02,0
2022-10-09,0
2022-10-16,35
2022-10-23,0
2022-10-30,36
2022-11-06,28
2022-11-13,24
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,45
2022-12-25,0
