Categoria: Comercial e industrial

Semana,socorro são paulo: (Mundo)
2022-01-02,0
2022-01-09,74
2022-01-16,0
2022-01-23,0
2022-01-30,40
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,56
2022-03-20,0
2022-03-27,42
2022-04-03,0
2022-04-10,48
2022-04-17,0
2022-04-24,0
2022-05-01,22
2022-05-08,68
2022-05-15,37
2022-05-22,25
2022-05-29,46
2022-06-05,0
2022-06-12,0
2022-06-19,57
2022-06-26,38
2022-07-03,0
2022-07-10,0
2022-07-17,28
2022-07-24,53
2022-07-31,32
2022-08-07,0
2022-08-14,0
2022-08-21,36
2022-08-28,0
2022-09-04,0
2022-09-11,34
2022-09-18,45
2022-09-25,0
2022-10-02,27
2022-10-09,0
2022-10-16,100
2022-10-23,0
2022-10-30,0
2022-11-06,25
2022-11-13,99
2022-11-20,81
2022-11-27,62
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,44
