Categoria: Comercial e industrial

Semana,santo amaro são paulo: (Mundo)
2022-01-02,38
2022-01-09,0
2022-01-16,71
2022-01-23,28
2022-01-30,0
2022-02-06,85
2022-02-13,0
2022-02-20,15
2022-02-27,0
2022-03-06,15
2022-03-13,56
2022-03-20,100
2022-03-27,29
2022-04-03,0
2022-04-10,39
2022-04-17,49
2022-04-24,34
2022-05-01,41
2022-05-08,0
2022-05-15,30
2022-05-22,37
2022-05-29,0
2022-06-05,30
2022-06-12,0
2022-06-19,62
2022-06-26,0
2022-07-03,15
2022-07-10,54
2022-07-17,56
2022-07-24,24
2022-07-31,33
2022-08-07,53
2022-08-14,23
2022-08-21,0
2022-08-28,28
2022-09-04,33
2022-09-11,21
2022-09-18,35
2022-09-25,14
2022-10-02,37
2022-10-09,0
2022-10-16,52
2022-10-23,32
2022-10-30,22
2022-11-06,0
2022-11-13,54
2022-11-20,17
2022-11-27,0
2022-12-04,0
2022-12-11,20
2022-12-18,15
2022-12-25,36
