Categoria: Comercial e industrial

Semana,jardins são paulo: (Mundo)
2022-01-02,36
2022-01-09,0
2022-01-16,0
2022-01-23,20
2022-01-30,55
2022-02-06,22
2022-02-13,20
2022-02-20,0
2022-02-27,20
2022-03-06,22
2022-03-13,32
2022-03-20,0
2022-03-27,20
2022-04-03,91
2022-04-10,0
2022-04-17,29
2022-04-24,35
2022-05-01,0
2022-05-08,0
2022-05-15,26
2022-05-22,0
2022-05-29,27
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,19
2022-07-03,0
2022-07-10,27
2022-07-17,100
2022-07-24,17
2022-07-31,0
2022-08-07,57
2022-08-14,0
2022-08-21,0
2022-08-28,28
2022-09-04,0
2022-09-11,35
2022-09-18,0
2022-09-25,23
2022-10-02,40
2022-10-09,59
2022-10-16,0
2022-10-23,52
2022-10-30,44
2022-11-06,29
2022-11-13,24
2022-11-20,0
2022-11-27,0
2022-12-04,17
2022-12-11,38
2022-12-18,26
2022-12-25,0
