Categoria: Comercial e industrial

Semana,bom retiro são paulo: (Mundo)
2022-01-02,37
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,43
2022-02-06,37
2022-02-13,0
2022-02-20,31
2022-02-27,37
2022-03-06,0
2022-03-13,60
2022-03-20,56
2022-03-27,46
2022-04-03,43
2022-04-10,20
2022-04-17,31
2022-04-24,82
2022-05-01,0
2022-05-08,30
2022-05-15,57
2022-05-22,0
2022-05-29,21
2022-06-05,0
2022-06-12,45
2022-06-19,46
2022-06-26,56
2022-07-03,82
2022-07-10,81
2022-07-17,45
2022-07-24,0
2022-07-31,50
2022-08-07,0
2022-08-14,100
2022-08-21,26
2022-08-28,0
2022-09-04,0
2022-09-11,19
2022-09-18,73
2022-09-25,24
2022-10-02,60
2022-10-09,64
2022-10-16,44
2022-10-23,43
2022-10-30,66
2022-11-06,86
2022-11-13,59
2022-11-20,24
2022-11-27,21
2022-12-04,81
2022-12-11,0
2022-12-18,20
2022-12-25,21
