Categoria: Comercial e industrial

Semana,butantã são paulo: (Mundo)
2022-01-02,0
2022-01-09,46
2022-01-16,0
2022-01-23,45
2022-01-30,32
2022-02-06,68
2022-02-13,0
2022-02-20,80
2022-02-27,0
2022-03-06,21
2022-03-13,51
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,91
2022-05-15,100
2022-05-22,23
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,33
2022-07-03,40
2022-07-10,24
2022-07-17,0
2022-07-24,0
2022-07-31,24
2022-08-07,90
2022-08-14,32
2022-08-21,37
2022-08-28,0
2022-09-04,65
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,42
2022-10-16,83
2022-10-23,29
2022-10-30,0
2022-11-06,45
2022-11-13,40
2022-11-20,36
2022-11-27,62
2022-12-04,41
2022-12-11,26
2022-12-18,26
2022-12-25,0
