Categoria: Comercial e industrial

Semana,consolação são paulo: (Mundo)
2022-01-02,50
2022-01-09,0
2022-01-16,57
2022-01-23,44
2022-01-30,70
2022-02-06,0
2022-02-13,38
2022-02-20,100
2022-02-27,33
2022-03-06,49
2022-03-13,0
2022-03-20,0
2022-03-27,59
2022-04-03,98
2022-04-10,21
2022-04-17,34
2022-04-24,0
2022-05-01,0
2022-05-08,40
2022-05-15,100
2022-05-22,19
2022-05-29,61
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,33
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,63
2022-07-31,53
2022-08-07,39
2022-08-14,27
2022-08-21,49
2022-08-28,70
2022-09-04,47
2022-09-11,56
2022-09-18,21
2022-09-25,51
2022-10-02,38
2022-10-09,20
2022-10-16,0
2022-10-23,80
2022-10-30,0
2022-11-06,0
2022-11-13,54
2022-11-20,28
2022-11-27,0
2022-12-04,23
2022-12-11,0
2022-12-18,45
2022-12-25,63
