Categoria: Compras

Semana,santo amaro são paulo: (Mundo)
2022-01-02,34
2022-01-09,48
2022-01-16,0
2022-01-23,42
2022-01-30,31
2022-02-06,24
2022-02-13,37
2022-02-20,31
2022-02-27,43
2022-03-06,31
2022-03-13,40
2022-03-20,34
2022-03-27,35
2022-04-03,43
2022-04-10,44
2022-04-17,68
2022-04-24,37
2022-05-01,40
2022-05-08,38
2022-05-15,35
2022-05-22,24
2022-05-29,26
2022-06-05,34
2022-06-12,23
2022-06-19,22
2022-06-26,36
2022-07-03,57
2022-07-10,27
2022-07-17,13
2022-07-24,25
2022-07-31,44
2022-08-07,47
2022-08-14,51
2022-08-21,35
2022-08-28,71
2022-09-04,30
2022-09-11,30
2022-09-18,48
2022-09-25,43
2022-10-02,15
2022-10-09,44
2022-10-16,26
2022-10-23,29
2022-10-30,0
2022-11-06,46
2022-11-13,30
2022-11-20,11
2022-11-27,15
2022-12-04,25
2022-12-11,42
2022-12-18,34
2022-12-25,100
