Categoria: Artes e entretenimento

Semana,são mateus são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,100
2022-01-30,78
2022-02-06,82
2022-02-13,0
2022-02-20,0
2022-02-27,57
2022-03-06,0
2022-03-13,38
2022-03-20,34
2022-03-27,0
2022-04-03,0
2022-04-10,47
2022-04-17,35
2022-04-24,0
2022-05-01,36
2022-05-08,0
2022-05-15,65
2022-05-22,54
2022-05-29,30
2022-06-05,0
2022-06-12,28
2022-06-19,47
2022-06-26,32
2022-07-03,45
2022-07-10,0
2022-07-17,76
2022-07-24,74
2022-07-31,0
2022-08-07,35
2022-08-14,0
2022-08-21,48
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,27
2022-10-16,0
2022-10-23,50
2022-10-30,32
2022-11-06,0
2022-11-13,0
2022-11-20,45
2022-11-27,0
2022-12-04,0
2022-12-11,64
2022-12-18,43
2022-12-25,59
