Categoria: Comercial e industrial

Semana,ceagesp são paulo: (Mundo)
2022-01-02,60
2022-01-09,0
2022-01-16,87
2022-01-23,54
2022-01-30,42
2022-02-06,92
2022-02-13,49
2022-02-20,50
2022-02-27,46
2022-03-06,43
2022-03-13,96
2022-03-20,74
2022-03-27,80
2022-04-03,28
2022-04-10,82
2022-04-17,51
2022-04-24,63
2022-05-01,52
2022-05-08,69
2022-05-15,88
2022-05-22,45
2022-05-29,72
2022-06-05,65
2022-06-12,86
2022-06-19,42
2022-06-26,82
2022-07-03,76
2022-07-10,50
2022-07-17,49
2022-07-24,61
2022-07-31,36
2022-08-07,100
2022-08-14,84
2022-08-21,72
2022-08-28,0
2022-09-04,63
2022-09-11,55
2022-09-18,57
2022-09-25,26
2022-10-02,24
2022-10-09,76
2022-10-16,56
2022-10-23,71
2022-10-30,74
2022-11-06,28
2022-11-13,68
2022-11-20,34
2022-11-27,31
2022-12-04,52
2022-12-11,61
2022-12-18,52
2022-12-25,43
