Categoria: Comercial e industrial

Semana,pinheiros são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,34
2022-01-30,72
2022-02-06,34
2022-02-13,71
2022-02-20,33
2022-02-27,0
2022-03-06,32
2022-03-13,45
2022-03-20,56
2022-03-27,49
2022-04-03,49
2022-04-10,72
2022-04-17,60
2022-04-24,40
2022-05-01,64
2022-05-08,51
2022-05-15,66
2022-05-22,29
2022-05-29,22
2022-06-05,38
2022-06-12,21
2022-06-19,0
2022-06-26,24
2022-07-03,89
2022-07-10,0
2022-07-17,0
2022-07-24,100
2022-07-31,0
2022-08-07,67
2022-08-14,51
2022-08-21,57
2022-08-28,60
2022-09-04,0
2022-09-11,88
2022-09-18,0
2022-09-25,54
2022-10-02,43
2022-10-09,87
2022-10-16,0
2022-10-23,0
2022-10-30,74
2022-11-06,0
2022-11-13,81
2022-11-20,0
2022-11-27,31
2022-12-04,50
2022-12-11,55
2022-12-18,26
2022-12-25,0
