Categoria: Comercial e industrial

Semana,brás são paulo: (Mundo)
2022-01-02,36
2022-01-09,19
2022-01-16,34
2022-01-23,53
2022-01-30,25
2022-02-06,40
2022-02-13,36
2022-02-20,22
2022-02-27,56
2022-03-06,95
2022-03-13,32
2022-03-20,36
2022-03-27,63
2022-04-03,27
2022-04-10,13
2022-04-17,77
2022-04-24,43
2022-05-01,33
2022-05-08,57
2022-05-15,99
2022-05-22,100
2022-05-29,52
2022-06-05,85
2022-06-12,67
2022-06-19,66
2022-06-26,46
2022-07-03,77
2022-07-10,42
2022-07-17,41
2022-07-24,40
2022-07-31,63
2022-08-07,61
2022-08-14,51
2022-08-21,74
2022-08-28,37
2022-09-04,40
2022-09-11,51
2022-09-18,47
2022-09-25,78
2022-10-02,38
2022-10-09,41
2022-10-16,29
2022-10-23,57
2022-10-30,20
2022-11-06,21
2022-11-13,63
2022-11-20,15
2022-11-27,23
2022-12-04,41
2022-12-11,65
2022-12-18,23
2022-12-25,57
