Categoria: Todas as categorias

Semana,são miguel paulista são paulo: (Mundo)
2022-01-02,56
2022-01-09,65
2022-01-16,97
2022-01-23,99
2022-01-30,56
2022-02-06,56
2022-02-13,82
2022-02-20,77
2022-02-27,45
2022-03-06,94
2022-03-13,75
2022-03-20,69
2022-03-27,76
2022-04-03,53
2022-04-10,58
2022-04-17,70
2022-04-24,57
2022-05-01,69
2022-05-08,80
2022-05-15,64
2022-05-22,73
2022-05-29,67
2022-06-05,76
2022-06-12,78
2022-06-19,56
2022-06-26,99
2022-07-03,66
2022-07-10,73
2022-07-17,44
2022-07-24,65
2022-07-31,55
2022-08-07,62
2022-08-14,84
2022-08-21,62
2022-08-28,68
2022-09-04,81
2022-09-11,82
2022-09-18,64
2022-09-25,77
2022-10-02,82
2022-10-09,93
2022-10-16,91
2022-10-23,62
2022-10-30,85
2022-11-06,54
2022-11-13,58
2022-11-20,40
2022-11-27,38
2022-12-04,48
2022-12-11,49
2022-12-18,44
2022-12-25,100
