Categoria: Todas as categorias

Semana,casa verde são paulo: (Mundo)
2022-01-02,39
2022-01-09,57
2022-01-16,29
2022-01-23,58
2022-01-30,30
2022-02-06,36
2022-02-13,38
2022-02-20,36
2022-02-27,35
2022-03-06,32
2022-03-13,57
2022-03-20,45
2022-03-27,60
2022-04-03,53
2022-04-10,20
2022-04-17,50
2022-04-24,100
2022-05-01,29
2022-05-08,26
2022-05-15,34
2022-05-22,32
2022-05-29,0
2022-06-05,41
2022-06-12,34
2022-06-19,44
2022-06-26,36
2022-07-03,31
2022-07-10,31
2022-07-17,31
2022-07-24,47
2022-07-31,52
2022-08-07,49
2022-08-14,36
2022-08-21,39
2022-08-28,31
2022-09-04,43
2022-09-11,39
2022-09-18,35
2022-09-25,54
2022-10-02,25
2022-10-09,43
2022-10-16,34
2022-10-23,35
2022-10-30,36
2022-11-06,33
2022-11-13,37
2022-11-20,14
2022-11-27,23
2022-12-04,22
2022-12-11,30
2022-12-18,29
2022-12-25,19
