Categoria: Todas as categorias

Semana,ipiranga são paulo: (Mundo)
2022-01-02,34
2022-01-09,32
2022-01-16,30
2022-01-23,32
2022-01-30,25
2022-02-06,31
2022-02-13,39
2022-02-20,30
2022-02-27,39
2022-03-06,35
2022-03-13,34
2022-03-20,34
2022-03-27,42
2022-04-03,33
2022-04-10,36
2022-04-17,31
2022-04-24,37
2022-05-01,37
2022-05-08,33
2022-05-15,28
2022-05-22,27
2022-05-29,28
2022-06-05,38
2022-06-12,36
2022-06-19,51
2022-06-26,37
2022-07-03,40
2022-07-10,40
2022-07-17,40
2022-07-24,35
2022-07-31,33
2022-08-07,35
2022-08-14,39
2022-08-21,41
2022-08-28,68
2022-09-04,100
2022-09-11,55
2022-09-18,45
2022-09-25,36
2022-10-02,44
2022-10-09,57
2022-10-16,40
2022-10-23,37
2022-10-30,42
2022-11-06,42
2022-11-13,34
2022-11-20,35
2022-11-27,26
2022-12-04,36
2022-12-11,42
2022-12-18,36
2022-12-25,42
