Categoria: Todas as categorias

Semana,capão redondo são paulo: (Mundo)
2022-01-02,71
2022-01-09,63
2022-01-16,10
2022-01-23,49
2022-01-30,34
2022-02-06,35
2022-02-13,36
2022-02-20,34
2022-02-27,41
2022-03-06,49
2022-03-13,34
2022-03-20,55
2022-03-27,63
2022-04-03,60
2022-04-10,59
2022-04-17,51
2022-04-24,60
2022-05-01,61
2022-05-08,59
2022-05-15,73
2022-05-22,26
2022-05-29,52
2022-06-05,37
2022-06-12,60
2022-06-19,70
2022-06-26,77
2022-07-03,41
2022-07-10,53
2022-07-17,33
2022-07-24,58
2022-07-31,64
2022-08-07,43
2022-08-14,47
2022-08-21,89
2022-08-28,65
2022-09-04,72
2022-09-11,100
2022-09-18,62
2022-09-25,33
2022-10-02,45
2022-10-09,51
2022-10-16,66
2022-10-23,48
2022-10-30,73
2022-11-06,15
2022-11-13,25
2022-11-20,24
2022-11-27,19
2022-12-04,23
2022-12-11,53
2022-12-18,38
2022-12-25,14
