Categoria: Todas as categorias

Semana,socorro são paulo: (Mundo)
2022-01-02,83
2022-01-09,78
2022-01-16,65
2022-01-23,63
2022-01-30,55
2022-02-06,62
2022-02-13,65
2022-02-20,64
2022-02-27,81
2022-03-06,69
2022-03-13,76
2022-03-20,70
2022-03-27,71
2022-04-03,85
2022-04-10,74
2022-04-17,84
2022-04-24,66
2022-05-01,78
2022-05-08,70
2022-05-15,76
2022-05-22,77
2022-05-29,70
2022-06-05,77
2022-06-12,75
2022-06-19,76
2022-06-26,100
2022-07-03,86
2022-07-10,68
2022-07-17,83
2022-07-24,88
2022-07-31,79
2022-08-07,77
2022-08-14,77
2022-08-21,58
2022-08-28,69
2022-09-04,90
2022-09-11,81
2022-09-18,68
2022-09-25,81
2022-10-02,93
2022-10-09,66
2022-10-16,70
2022-10-23,54
2022-10-30,52
2022-11-06,67
2022-11-13,39
2022-11-20,51
2022-11-27,45
2022-12-04,30
2022-12-11,51
2022-12-18,73
2022-12-25,60
