Categoria: Todas as categorias

Semana,penha de frança são paulo: (Mundo)
2022-01-02,52
2022-01-09,0
2022-01-16,40
2022-01-23,22
2022-01-30,57
2022-02-06,0
2022-02-13,83
2022-02-20,55
2022-02-27,0
2022-03-06,99
2022-03-13,78
2022-03-20,19
2022-03-27,65
2022-04-03,22
2022-04-10,0
2022-04-17,20
2022-04-24,49
2022-05-01,51
2022-05-08,73
2022-05-15,36
2022-05-22,67
2022-05-29,0
2022-06-05,70
2022-06-12,53
2022-06-19,65
2022-06-26,35
2022-07-03,75
2022-07-10,45
2022-07-17,47
2022-07-24,0
2022-07-31,100
2022-08-07,49
2022-08-14,22
2022-08-21,33
2022-08-28,35
2022-09-04,0
2022-09-11,58
2022-09-18,45
2022-09-25,59
2022-10-02,43
2022-10-09,51
2022-10-16,41
2022-10-23,62
2022-10-30,29
2022-11-06,44
2022-11-13,0
2022-11-20,70
2022-11-27,28
2022-12-04,77
2022-12-11,23
2022-12-18,48
2022-12-25,47
