Categoria: Todas as categorias

Semana,santo amaro são paulo: (Mundo)
2022-01-02,91
2022-01-09,96
2022-01-16,79
2022-01-23,85
2022-01-30,87
2022-02-06,71
2022-02-13,79
2022-02-20,74
2022-02-27,83
2022-03-06,82
2022-03-13,85
2022-03-20,84
2022-03-27,90
2022-04-03,71
2022-04-10,75
2022-04-17,69
2022-04-24,71
2022-05-01,79
2022-05-08,71
2022-05-15,90
2022-05-22,76
2022-05-29,83
2022-06-05,74
2022-06-12,81
2022-06-19,64
2022-06-26,85
2022-07-03,82
2022-07-10,72
2022-07-17,89
2022-07-24,75
2022-07-31,76
2022-08-07,74
2022-08-14,88
2022-08-21,88
2022-08-28,100
2022-09-04,67
2022-09-11,71
2022-09-18,91
2022-09-25,74
2022-10-02,80
2022-10-09,69
2022-10-16,73
2022-10-23,76
2022-10-30,68
2022-11-06,67
2022-11-13,56
2022-11-20,52
2022-11-27,63
2022-12-04,60
2022-12-11,58
2022-12-18,46
2022-12-25,65
