Categoria: Todas as categorias

Semana,brás são paulo: (Mundo)
2022-01-02,74
2022-01-09,59
2022-01-16,49
2022-01-23,68
2022-01-30,70
2022-02-06,68
2022-02-13,59
2022-02-20,56
2022-02-27,64
2022-03-06,59
2022-03-13,67
2022-03-20,65
2022-03-27,70
2022-04-03,77
2022-04-10,66
2022-04-17,70
2022-04-24,65
2022-05-01,73
2022-05-08,74
2022-05-15,97
2022-05-22,100
2022-05-29,93
2022-06-05,78
2022-06-12,77
2022-06-19,74
2022-06-26,62
2022-07-03,67
2022-07-10,69
2022-07-17,71
2022-07-24,66
2022-07-31,61
2022-08-07,70
2022-08-14,69
2022-08-21,65
2022-08-28,69
2022-09-04,65
2022-09-11,78
2022-09-18,76
2022-09-25,86
2022-10-02,66
2022-10-09,68
2022-10-16,61
2022-10-23,70
2022-10-30,66
2022-11-06,64
2022-11-13,56
2022-11-20,63
2022-11-27,63
2022-12-04,64
2022-12-11,68
2022-12-18,53
2022-12-25,43
