Categoria: Todas as categorias

Semana,jardins são paulo: (Mundo)
2022-01-02,61
2022-01-09,69
2022-01-16,30
2022-01-23,31
2022-01-30,68
2022-02-06,62
2022-02-13,58
2022-02-20,65
2022-02-27,63
2022-03-06,69
2022-03-13,66
2022-03-20,59
2022-03-27,58
2022-04-03,77
2022-04-10,52
2022-04-17,82
2022-04-24,80
2022-05-01,57
2022-05-08,55
2022-05-15,63
2022-05-22,58
2022-05-29,74
2022-06-05,75
2022-06-12,65
2022-06-19,56
2022-06-26,53
2022-07-03,90
2022-07-10,69
2022-07-17,76
2022-07-24,100
2022-07-31,63
2022-08-07,65
2022-08-14,80
2022-08-21,57
2022-08-28,56
2022-09-04,35
2022-09-11,90
2022-09-18,66
2022-09-25,55
2022-10-02,52
2022-10-09,78
2022-10-16,57
2022-10-23,64
2022-10-30,71
2022-11-06,55
2022-11-13,46
2022-11-20,55
2022-11-27,44
2022-12-04,48
2022-12-11,43
2022-12-18,53
2022-12-25,31
