Categoria: Todas as categorias

Semana,vila clementino são paulo: (Mundo)
2022-01-02,23
2022-01-09,42
2022-01-16,19
2022-01-23,0
2022-01-30,40
2022-02-06,55
2022-02-13,56
2022-02-20,58
2022-02-27,38
2022-03-06,55
2022-03-13,27
2022-03-20,29
2022-03-27,18
2022-04-03,70
2022-04-10,30
2022-04-17,59
2022-04-24,53
2022-05-01,56
2022-05-08,43
2022-05-15,59
2022-05-22,24
2022-05-29,37
2022-06-05,61
2022-06-12,47
2022-06-19,28
2022-06-26,45
2022-07-03,35
2022-07-10,57
2022-07-17,92
2022-07-24,52
2022-07-31,17
2022-08-07,100
2022-08-14,37
2022-08-21,19
2022-08-28,37
2022-09-04,91
2022-09-11,33
2022-09-18,41
2022-09-25,49
2022-10-02,53
2022-10-09,65
2022-10-16,28
2022-10-23,47
2022-10-30,71
2022-11-06,37
2022-11-13,24
2022-11-20,0
2022-11-27,38
2022-12-04,0
2022-12-11,32
2022-12-18,42
2022-12-25,0
