Categoria: Todas as categorias

Semana,sacomã são paulo: (Mundo)
2022-01-02,61
2022-01-09,52
2022-01-16,34
2022-01-23,14
2022-01-30,0
2022-02-06,43
2022-02-13,20
2022-02-20,37
2022-02-27,42
2022-03-06,75
2022-03-13,31
2022-03-20,16
2022-03-27,48
2022-04-03,46
2022-04-10,63
2022-04-17,78
2022-04-24,46
2022-05-01,30
2022-05-08,65
2022-05-15,0
2022-05-22,32
2022-05-29,14
2022-06-05,34
2022-06-12,41
2022-06-19,0
2022-06-26,63
2022-07-03,41
2022-07-10,59
2022-07-17,16
2022-07-24,43
2022-07-31,47
2022-08-07,35
2022-08-14,100
2022-08-21,48
2022-08-28,56
2022-09-04,61
2022-09-11,59
2022-09-18,56
2022-09-25,55
2022-10-02,42
2022-10-09,40
2022-10-16,36
2022-10-23,82
2022-10-30,45
2022-11-06,54
2022-11-13,33
2022-11-20,43
2022-11-27,46
2022-12-04,0
2022-12-11,39
2022-12-18,31
2022-12-25,44
