Categoria: Todas as categorias

Semana,artur alvim são paulo: (Mundo)
2022-01-02,30
2022-01-09,55
2022-01-16,54
2022-01-23,47
2022-01-30,0
2022-02-06,24
2022-02-13,0
2022-02-20,41
2022-02-27,32
2022-03-06,54
2022-03-13,100
2022-03-20,54
2022-03-27,31
2022-04-03,59
2022-04-10,0
2022-04-17,31
2022-04-24,39
2022-05-01,24
2022-05-08,31
2022-05-15,0
2022-05-22,20
2022-05-29,56
2022-06-05,0
2022-06-12,60
2022-06-19,0
2022-06-26,47
2022-07-03,43
2022-07-10,35
2022-07-17,41
2022-07-24,48
2022-07-31,54
2022-08-07,29
2022-08-14,39
2022-08-21,0
2022-08-28,44
2022-09-04,44
2022-09-11,82
2022-09-18,23
2022-09-25,31
2022-10-02,40
2022-10-09,66
2022-10-16,31
2022-10-23,30
2022-10-30,27
2022-11-06,23
2022-11-13,36
2022-11-20,0
2022-11-27,26
2022-12-04,56
2022-12-11,70
2022-12-18,38
2022-12-25,46
