Categoria: Todas as categorias

Semana,pirituba são paulo: (Mundo)
2022-01-02,80
2022-01-09,87
2022-01-16,70
2022-01-23,76
2022-01-30,100
2022-02-06,73
2022-02-13,50
2022-02-20,56
2022-02-27,90
2022-03-06,67
2022-03-13,81
2022-03-20,67
2022-03-27,71
2022-04-03,51
2022-04-10,83
2022-04-17,66
2022-04-24,58
2022-05-01,86
2022-05-08,69
2022-05-15,100
2022-05-22,66
2022-05-29,83
2022-06-05,59
2022-06-12,84
2022-06-19,65
2022-06-26,67
2022-07-03,64
2022-07-10,66
2022-07-17,81
2022-07-24,64
2022-07-31,79
2022-08-07,55
2022-08-14,78
2022-08-21,82
2022-08-28,83
2022-09-04,72
2022-09-11,55
2022-09-18,75
2022-09-25,51
2022-10-02,80
2022-10-09,90
2022-10-16,81
2022-10-23,69
2022-10-30,50
2022-11-06,61
2022-11-13,75
2022-11-20,66
2022-11-27,56
2022-12-04,67
2022-12-11,51
2022-12-18,52
2022-12-25,54
