Categoria: Todas as categorias

Semana,vila matilde são paulo: (Mundo)
2022-01-02,47
2022-01-09,40
2022-01-16,40
2022-01-23,74
2022-01-30,18
2022-02-06,45
2022-02-13,17
2022-02-20,0
2022-02-27,37
2022-03-06,51
2022-03-13,41
2022-03-20,49
2022-03-27,45
2022-04-03,36
2022-04-10,33
2022-04-17,23
2022-04-24,100
2022-05-01,23
2022-05-08,31
2022-05-15,28
2022-05-22,29
2022-05-29,81
2022-06-05,59
2022-06-12,26
2022-06-19,24
2022-06-26,57
2022-07-03,68
2022-07-10,43
2022-07-17,39
2022-07-24,82
2022-07-31,53
2022-08-07,53
2022-08-14,88
2022-08-21,53
2022-08-28,42
2022-09-04,85
2022-09-11,35
2022-09-18,68
2022-09-25,54
2022-10-02,68
2022-10-09,40
2022-10-16,34
2022-10-23,25
2022-10-30,49
2022-11-06,56
2022-11-13,23
2022-11-20,24
2022-11-27,23
2022-12-04,34
2022-12-11,32
2022-12-18,24
2022-12-25,54
