Categoria: Todas as categorias

Semana,cidade dutra são paulo: (Mundo)
2022-01-02,43
2022-01-09,0
2022-01-16,25
2022-01-23,44
2022-01-30,34
2022-02-06,69
2022-02-13,45
2022-02-20,48
2022-02-27,0
2022-03-06,16
2022-03-13,48
2022-03-20,27
2022-03-27,67
2022-04-03,26
2022-04-10,32
2022-04-17,36
2022-04-24,41
2022-05-01,43
2022-05-08,30
2022-05-15,51
2022-05-22,35
2022-05-29,68
2022-06-05,46
2022-06-12,100
2022-06-19,85
2022-06-26,59
2022-07-03,34
2022-07-10,53
2022-07-17,60
2022-07-24,55
2022-07-31,59
2022-08-07,60
2022-08-14,24
2022-08-21,41
2022-08-28,59
2022-09-04,31
2022-09-11,52
2022-09-18,46
2022-09-25,68
2022-10-02,82
2022-10-09,50
2022-10-16,54
2022-10-23,44
2022-10-30,45
2022-11-06,21
2022-11-13,58
2022-11-20,31
2022-11-27,53
2022-12-04,22
2022-12-11,34
2022-12-18,45
2022-12-25,30
