Categoria: Todas as categorias

Semana,itaquera são paulo: (Mundo)
2022-01-02,73
2022-01-09,62
2022-01-16,78
2022-01-23,75
2022-01-30,53
2022-02-06,64
2022-02-13,62
2022-02-20,67
2022-02-27,90
2022-03-06,67
2022-03-13,58
2022-03-20,85
2022-03-27,85
2022-04-03,65
2022-04-10,55
2022-04-17,67
2022-04-24,65
2022-05-01,70
2022-05-08,62
2022-05-15,76
2022-05-22,100
2022-05-29,64
2022-06-05,69
2022-06-12,81
2022-06-19,75
2022-06-26,76
2022-07-03,49
2022-07-10,68
2022-07-17,82
2022-07-24,73
2022-07-31,79
2022-08-07,74
2022-08-14,68
2022-08-21,69
2022-08-28,93
2022-09-04,77
2022-09-11,82
2022-09-18,77
2022-09-25,71
2022-10-02,69
2022-10-09,75
2022-10-16,67
2022-10-23,51
2022-10-30,60
2022-11-06,57
2022-11-13,59
2022-11-20,72
2022-11-27,47
2022-12-04,58
2022-12-11,48
2022-12-18,44
2022-12-25,52
