Categoria: Todas as categorias

Semana,jaçanã são paulo: (Mundo)
2022-01-02,86
2022-01-09,60
2022-01-16,0
2022-01-23,57
2022-01-30,18
2022-02-06,60
2022-02-13,52
2022-02-20,41
2022-02-27,47
2022-03-06,67
2022-03-13,34
2022-03-20,43
2022-03-27,19
2022-04-03,0
2022-04-10,20
2022-04-17,48
2022-04-24,36
2022-05-01,100
2022-05-08,25
2022-05-15,53
2022-05-22,0
2022-05-29,64
2022-06-05,15
2022-06-12,58
2022-06-19,47
2022-06-26,64
2022-07-03,29
2022-07-10,58
2022-07-17,23
2022-07-24,38
2022-07-31,25
2022-08-07,95
2022-08-14,61
2022-08-21,35
2022-08-28,36
2022-09-04,36
2022-09-11,44
2022-09-18,41
2022-09-25,91
2022-10-02,78
2022-10-09,0
2022-10-16,44
2022-10-23,45
2022-10-30,0
2022-11-06,38
2022-11-13,19
2022-11-20,48
2022-11-27,28
2022-12-04,44
2022-12-11,30
2022-12-18,77
2022-12-25,25
