,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,verified,protected,anos_ativo,tweets_por_ano,followers_por_ano,following_por_ano
1,8,0,0,13,2,35,0,4,3,71,0,3,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,49,3,0,20,9,50,0,0,2,1,0,1,0,16,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,3,0,0,5,0,0,0,0,0,0,0,0,36,7,2,0,0,0,0,0,0,0.0198019801980198,0.0297029702970297,9.88118811881188,1395.2609499686232,507.6827650622205,113.49049646722914
2,1,0,0,2,7,4,0,0,11,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,0,0,6,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,8.534653465346535,1709.2802482583425,623.471332751407,105.42402921610842
3,15,0,0,13,0,30,0,0,5,59,1,0,0,0,0,0,1,1,1,8,1,1,0,0,1,1,0,1,0,0,0,0,0,0,37,4,0,17,0,24,2,0,1,2,0,1,0,10,0,1,1,0,1,2,1,3,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,11,5,0,0,6,0,0,0,0,0.0396039603960396,0.0594059405940594,8.613861386138614,1594.9821738767282,650.3795092283954,153.3691385622079
4,16,0,0,14,1,36,1,2,8,77,1,0,0,0,1,0,0,5,1,2,0,1,0,0,0,4,0,2,0,0,0,2,0,0,57,1,1,23,1,18,1,0,5,4,0,2,0,6,1,2,2,0,0,1,0,1,0,8,0,0,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0396039603960396,0.0693069306930693,9.524752475247524,2097.416785346117,908.9060973405032,200.2738852731427
5,4,0,0,3,0,13,0,0,4,38,0,0,1,1,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,30,3,0,13,1,17,0,0,5,1,1,1,0,9,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0.0297029702970297,0.0396039603960396,9.623762376237623,1219.462906592857,611.8450324977553,103.0520554802733
6,9,0,0,3,2,14,0,2,6,41,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,7,0,0,0,10,0,0,1,2,0,6,1,17,0,0,1,7,0,1,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,10,1,0,0,37,0,0,0,0,0.0099009900990099,0.0396039603960396,9.198019801980198,1484.854922360368,715.9467522026928,97.54335112082636
7,8,0,0,2,1,18,0,0,1,13,0,0,1,0,1,0,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,5,1,0,16,0,3,0,0,2,4,0,0,0,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,1,0,0,0,0.0099009900990099,0.0693069306930693,9.297029702970296,3308.7229502071086,376.5587540072689,108.17990384203256
8,4,0,0,2,0,13,0,0,16,19,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,20,2,0,8,0,6,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0594059405940594,8.01980198019802,1370.0636511728096,256.45168112965143,137.25951441297977
9,3,0,0,1,0,29,0,2,25,34,1,1,0,2,1,0,0,3,0,0,0,2,0,0,2,0,0,7,0,1,0,1,0,2,13,9,0,14,8,0,1,0,2,3,0,2,0,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,1,2,0,0,1,0,0,3,2,6,7,1,0,0,0,0,0,1,0.0099009900990099,0.0693069306930693,9.386138613861386,1288.9155751564167,58.83804141403151,98.85874842978802
10,0,0,0,1,0,4,0,0,1,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,0,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0099009900990099,0.0198019801980198,9.128712871287128,1230.039648223064,386.4483342565026,128.4587471659254
