,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,verified,protected,anos_ativo,tweets_por_ano,followers_por_ano,following_por_ano
11,2,0,0,18,2,15,0,2,1,28,0,0,2,0,1,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,9,0,0,14,9,0,6,4,10,0,0,0,1,2,0,0,11,1,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0.0198019801980198,0.0297029702970297,10.217821782178218,1069.3867549667054,409.3183213376283,110.97271227122712
12,3,0,0,3,0,50,0,0,73,72,0,1,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,4,0,0,0,8,0,1,92,21,4,18,1,12,0,0,2,3,0,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,12,3,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0.0198019801980198,0.0792079207920792,7.930693069306931,1224.9740072358884,1236.5844528821012,150.4235659005461
13,2,0,0,2,0,12,0,1,10,11,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,4,1,0,16,1,7,0,0,0,6,1,3,0,9,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0099009900990099,0.0594059405940594,8.831683168316832,1593.692930199613,402.49694807392825,158.44492897091905
14,62,0,1,39,0,90,0,5,24,192,2,1,1,1,5,0,1,9,0,23,1,31,0,0,1,1,0,10,0,0,0,12,0,0,119,10,5,80,4,24,0,0,3,9,0,2,0,27,0,2,5,0,0,1,1,1,0,3,0,0,0,0,1,0,3,0,0,0,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,4,0,0,0,1,0,0,0,0,15,3,0,0,0,0,0,0,0,0.0099009900990099,0.0792079207920792,9.633663366336634,1493.7242116794096,505.2177696890568,102.1847722959109
15,7,0,0,21,1,15,0,0,4,64,0,0,0,1,1,0,0,2,0,13,0,56,0,0,0,0,0,1,0,1,0,4,0,0,17,9,0,18,0,32,0,0,3,0,4,0,0,13,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,6,0,0,0,0,0.0099009900990099,0.0396039603960396,10.128712871287128,1317.9950954710855,634.4618362660442,82.77012926567382
16,4,0,0,13,0,32,0,2,15,34,3,3,0,1,0,0,1,10,2,5,0,3,0,0,0,0,0,6,0,0,0,10,0,0,8,4,0,12,0,19,0,0,6,4,3,2,0,22,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0198019801980198,9.603960396039604,1636.4165883346575,652.1806136382868,99.87938318557131
17,2,0,0,2,0,8,0,1,1,9,0,0,0,1,2,0,0,3,1,2,0,0,0,0,3,0,0,2,0,0,0,7,0,0,3,3,0,4,0,9,0,0,0,1,1,2,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0.0099009900990099,0.0495049504950495,9.108910891089108,1746.0782040017186,470.74822784476254,152.2916966421917
18,4,0,0,0,0,4,0,0,5,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,1,0,3,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0792079207920792,8.831683168316832,2036.7753851758805,954.404800974603,146.11023118795396
19,2,0,0,0,0,11,0,1,29,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,3,0,2,0,0,1,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0297029702970297,0.0198019801980198,8.435643564356436,1659.7192465125634,1046.3359213119113,174.15667956905585
20,0,0,0,1,0,10,0,0,6,9,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,1,0,5,0,4,0,0,2,1,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0297029702970297,9.435643564356436,1770.5737273727373,103.61210840864308,126.61582361532857
21,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0099009900990099,7.97029702970297,1798.1943821030454,316.5411440045104,299.89281164380174
22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,8.524752475247524,1125.973181439023,785.4980072183043,190.58728345362007
23,15,0,0,5,0,11,0,1,6,36,2,0,0,0,0,0,0,1,0,7,0,15,0,0,1,0,0,0,0,0,0,2,0,1,5,1,1,28,0,4,1,0,1,0,0,0,0,7,1,3,1,0,0,2,0,0,0,3,0,1,0,0,3,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,2,5,0,0,0,0,0,0,0,0.0297029702970297,0.0792079207920792,9.198019801980198,2584.6693938075127,700.1468076752731,131.5046431291481
24,0,0,0,2,0,1,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0099009900990099,0.0396039603960396,8.455445544554456,1025.3024094305035,299.08355423454435,176.05270061346795
25,2,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0495049504950495,5.455445544554456,1426.4810386258405,75.29354888785582,131.98026146021195
26,4,0,0,11,0,10,1,1,2,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,11,0,0,5,6,0,12,0,18,1,0,1,1,3,0,0,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0396039603960396,6.6138613861386135,1426.4810386258405,352.6337731990232,131.98026146021195
27,1,0,0,0,0,2,0,0,2,4,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,0,1,5,0,3,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0099009900990099,9.574257425742577,1430.400364267196,2984.188503960286,110.23681313186265
28,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0297029702970297,8.950495049504951,915.4699778769086,577.7569564786149,75.94013555201674
29,5,0,0,5,3,17,0,4,5,19,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,2,0,0,0,9,0,0,12,3,0,11,4,10,2,0,3,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.0198019801980198,0.0495049504950495,8.009900990099009,1068.5224620264223,4155.315778995481,151.45735109225208
30,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,8.96039603960396,1102.148684566259,1308.5412592358136,140.98175248843566
31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0421052631578947,7.842105263157895,1102.148684566259,219.60746103778013,140.98175248843566
32,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,7.940594059405939,1504.5824527232942,563.840335297266,204.35163373480205
33,0,0,1,2,0,8,0,0,0,12,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6,9,0,1,2,13,0,0,1,1,1,1,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0396039603960396,8.861386138613861,1202.4296843695358,104.51368691814235,134.02382183273272
34,0,0,0,0,0,4,0,0,4,13,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,7,0,10,1,26,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,3,0,0,0,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0594059405940594,0.0693069306930693,9.564356435643564,2420.310074606362,4265.65290592246,127.5217936354075
35,6,0,0,13,10,21,0,1,2,40,1,0,0,1,1,0,0,6,0,39,0,6,0,0,0,0,0,1,0,0,0,10,0,0,9,3,0,7,0,13,0,0,9,2,1,1,0,12,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0198019801980198,0.0594059405940594,8.663366336633663,1154.745263345016,3969.325772714634,130.15613668509707
36,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.0198019801980198,0.0198019801980198,8.495049504950495,1896.4848041397547,1625.2765681238454,106.654544108257
37,1,0,0,0,1,3,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,4,0,0,4,1,1,0,0,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0297029702970297,8.237623762376238,1428.7729940851227,102.67517655611714,113.67498095963442
38,3,0,0,2,0,21,0,3,36,20,1,2,0,0,1,0,0,3,0,1,0,1,0,0,1,0,0,9,0,0,0,2,0,0,5,3,0,7,1,3,0,0,2,6,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0.0,0.0297029702970297,8.851485148514852,1489.0222175514257,206.54978047255275,138.19230049378564
39,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198019801980198,0.0099009900990099,8.415841584158416,1982.9753255820087,560.1294673972892,126.0349194534838
40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0297029702970297,9.742574257425742,1534.106710973295,711.94838195358,95.4502473599008
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0198019801980198,7.455445544554456,833.0623894807063,72.70127597924628,133.26656116161067
42,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0396039603960396,8.148514851485148,1547.1059162234906,80.56065117500762,136.43674543278505
43,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,8.782178217821782,1739.3917523620494,173.60688961753317,123.791925868411
44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0588235294117647,7.035294117647059,1739.3917523620494,173.60688961753317,123.791925868411
45,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,2,4,0,0,2,0,0,0,0,0.0,0.0454545454545454,8.965909090909092,838.8932422848616,48.93404105364332,79.54123023441205
46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0.0099009900990099,0.0396039603960396,7.99009900990099,2109.596744646992,1178.4167954432803,128.34325982048753
47,2,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,7.01980198019802,958.5902466345536,90.27607411840086,106.34649154475888
48,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0396039603960396,8.267326732673267,1772.4563008773405,79.86824965463579,114.3747485462832
